"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"African Panorama and Other Poems (1981)","African Panorama and Other Poems","Single Author|Selected Works","1981","['recdiyuHnz0tGPTmX']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recoCZ4mPtz5Ibgso']","",""
"Understanding African Poetry: A study of Ten Poets (1982)","Understanding African Poetry: A study of Ten Poets","Anthology","1982","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recNhPo6pSUn8KgWo', 'recN56vRpP8Hwjt6I', 'recjFhsnHmfE7LCF0', 'rechroj4k2UytZw1l', 'recz6MteBw1Bor0Fb', 'recKmC3uLoTU6Q9ZZ', 'rec9HCP4rWer1OxtW', 'recXa3j5KhNIb6Non', 'rec6VnVLOcchDcU8I', 'rec9ZSdmOwwpLFmzY']","","['recZmMtfaTx1eXHGZ']"
"Selected Poetry (1981)","Selected Poetry","Single Author|Selected Works","1981","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recj7AHvtQEN2LEAc']","",""
"Poèmes (Presque-songes, Traduit de la nuit) (1960)","Poèmes (Presque-songes, Traduit de la nuit)","Single Author|Selected Works","1960","['receDKWxCis7S6KSs']","['recEQ5xxm0QUQCzsd']","","",""," - ","","['rec3nsFlzAf5CZHRL']","",""
"L’Ombre et le vent (1947)","L’Ombre et le vent","Single Author|Selected Works","1947","['receDKWxCis7S6KSs']","['reccXe9WMVqJGwYL6']","","",""," - ","","['recKlfIVCHZdEqQtA']","",""
"In kringe  (1999)","In kringe ","Anthology","1999","['recVkfiMH1tyOotZ2']","['rec12WNOPdXXeSa9Y']","","",""," - ","","['recxURpWGZGc90bSe', 'recgFoo97jExhlkS9']","",""
"Dark Folk and Other Poems (1935)","Dark Folk and Other Poems","Single Author|Selected Works","1935","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recmbU8piwA4n7sgh']","","['recBpfUia0SLUXjKe']"
"The Fisherman's Invocation: Poems (1978)","The Fisherman's Invocation: Poems","Single Author|Selected Works","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recwS8MAXoSJ0nmct', 'recuBkINxTxdHsZNl', 'rec47dd99iWM5qwRw', 'recUTssqzr3XSMx4t']","","['reclu5cvQA95fq1bG']"
"Geschichte der neoafrikanischen Literatur (1966)","Geschichte der neoafrikanischen Literatur","Anthology","1966","['reccTuTMoaICaZDWk']","['recuikJcBtJMtbZDS']","","",""," - ","","['recHZmbosqTz9cOjP']","","['recRMwvM8cUdKblEV']"
"Reliques of Ancient English Poetry:  Consisting of Old Heroic Ballads, Songs, and Other Pieces of our Earlier Poets (1765)","Reliques of Ancient English Poetry:  Consisting of Old Heroic Ballads, Songs, and Other Pieces of our Earlier Poets","Anthology","1765","['recqjzd8XHCYYoJZN']","['recR6YHhrfthZo5tS']","","",""," - ","","","","['recOYrp6dhJ7LbCYz']"
"The Beasts of Nalunga (2007)","The Beasts of Nalunga","Single Author|Selected Works","2007","['recYQDXRa2WsSnoTL']","","","",""," - ","","['recdrk2OnQv3CA7QT']","",""
"Le Mauvais Sang (1955)","Le Mauvais Sang","Single Author|Selected Works","1955","","","","",""," - ","","['recGGMiOHdvZqtjs9']","",""
"Gold dust: Siftings from South African poems which most closely reflect the life, scenery, fauna and flora of South Africa (1917)","Gold dust: Siftings from South African poems which most closely reflect the life, scenery, fauna and flora of South Africa","Anthology","1917","['recsMxkOubAC56Il5']","['recR6YHhrfthZo5tS']","","",""," - ","","","","['reczpscNfD39kUcRi']"
"Blom en baaierd (1956)","Blom en baaierd","Single Author|Selected Works","1956","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recthmgfloWMWKHPX']","",""
"This Earth, My Brother... An Allegorical Tale of Africa (1971)","This Earth, My Brother... An Allegorical Tale of Africa","Single Author|Full Length","1971","['recwDkHLWRdHqzm25']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recviiLpw2friUI0q']","","['recxA3z3jP3l3q7JR']"
"The Dreamer, His Vision (2005)","The Dreamer, His Vision","Single Author|Selected Works","2005","['recgui426equeyAU0']","['recyw9KO0SJWxnOIL']","","",""," - ","","['recIRzb5G41SxT7zN']","",""
"Under African Skies (1990)","Under African Skies","Single Author|Selected Works","1990","['recrludAIg5YRTHRq']","['recZw13lsI65j01ma']","","",""," - ","","['recEE76l3blzI7irv']","","['recWg57S2pBvn3KXF']"
"Weerlose Uur (1943)","Weerlose Uur","Single Author|Selected Works","1943","['recxq15WOgg1YwL7j']","['recByKWBNYTnFNrCp']","","",""," - ","","['recERTRINruPH6QaD']","",""
"Circe's Garden (1907)","Circe's Garden","Single Author|Full Length","1907","","","","",""," - ","","['rechTBRPxacVGgDGp']","",""
"Selected Poems (1970)","Selected Poems","Single Author|Selected Works","1970","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recKst4G4nBJlHlPw']","",""
"Testament of a South African (1947)","Testament of a South African","Single Author|Selected Works","1947","","","","",""," - ","","['recdaeUMS0oHBXHvs']","",""
"Reverse (1948)","Reverse","Single Author|Selected Works","1948","","","","",""," - ","","['recsxSs3CTIIfxSa9']","",""
"Anatomy of Dark: Collected Poems of Arthur Nortje (2000)","Anatomy of Dark: Collected Poems of Arthur Nortje","Single Author|Collected Works","2000","['recuOJQXEF2EREGNJ']","['rec12WNOPdXXeSa9Y']","","",""," - ","","['recWYleGaQy6rsjJz']","",""
"A Feast of Return Under African Skies: Poems for Dance Drama (2000)","A Feast of Return Under African Skies: Poems for Dance Drama","Single Author|Selected Works","2000","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['rec44efqosYjaAB5f']","",""
"A Rosary of Bone: second edition, with more poems (1983)","A Rosary of Bone: second edition, with more poems","Single Author|Selected Works","1983","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recgpxPZ3rUVlxuvn', 'rec8V6JVqQ2WBJdXS', 'recOSrY0ZH8aTumIy']","","['recbYsA8nKU5kIT0q']"
"The Flaming Terrapin (1924)","The Flaming Terrapin","Single Author|Selected Works","1924","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recNZyYSh1jLBuvFz']","",""
"Les Élégies majeures (1979)","Les Élégies majeures","Single Author|Selected Works","1979","['rec99dkO1W0FbINfZ']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recdHc1XSO5giFIw3']","",""
"Die Stil Avontuur (1939)","Die Stil Avontuur","Single Author|Selected Works","1939","['recjegVjCwIibZ2my']","","","",""," - ","","['recGPbLT3YPUshRDt']","",""
"The Seven Seas (1896)","The Seven Seas","Single Author|Selected Works","1896","['rec5zmRHXkzVN4GNj']","['recR6YHhrfthZo5tS']","","",""," - ","","['recZPbppxkBHfv8Ht']","",""
"Under the Horizon: Collected poems of Charles Eglington (1977)","Under the Horizon: Collected poems of Charles Eglington","Single Author|Collected Works","1977","['recvCSyQ7K0v2z2rG']","['recR6YHhrfthZo5tS']","","",""," - ","","['recSgCL580rrR9kpX']","",""
"Nerve Ends (1969)","Nerve Ends","Single Author|Selected Works","1969","['reciRpC86N1AiiFL2']","['recR6YHhrfthZo5tS']","","",""," - ","","['recrtz2m4Mg3Ta4yn']","",""
"Béatrice du Congo (1970)","Béatrice du Congo","Single Author|Full Length","1970","['rec1gtjZIFvDinrPh']","","","",""," - ","","['recxyMqlY9a3DClEi']","",""
"No Longer at Ease: Poems (1956)","No Longer at Ease: Poems","Single Author|Selected Works","1956","","['recByKWBNYTnFNrCp']","","",""," - ","","['recIMWUfW60FJ83sX']","",""
"Chants pour Abéone (1936)","Chants pour Abéone","Single Author|Selected Works","1936","['rec6XgAyapzRXj8HU']","","","",""," - ","","['rec00PWrOw89bo4xj']","",""
"Orphan (1968)","Orphan","Single Author|Selected Works","1968","['reckUQFcwM824zPBh']","['recu3MoBp4ft8I96h']","","",""," - ","","['recmgPSm3pseD2NvP']","","['recLwVLBdHUqSvdrf']"
"Mindblast, or the Definitive Buddy (1984)","Mindblast, or the Definitive Buddy","Single Author|Full Length","1984","['recOBdi0CvHv7kcPu']","","","",""," - ","","['recuVlSxmCQs8emOM']","",""
"Skinned: Selected Poems (2013)","Skinned: Selected Poems","Single Author|Selected Works","2013","['recLHFQlaTZISH8uF']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recTtMPz3F0S8truf']","",""
"Lova (1957)","Lova","Single Author|Selected Works","1957","","","","",""," - ","","['recUkiUhWLIV7xzxC']","",""
"Song of Lawino: A Lament (1966)","Song of Lawino: A Lament","Single Author|Selected Works","1966","['reckUQFcwM824zPBh']","['recu3MoBp4ft8I96h']","","",""," - ","","['reccSFNws6Wrck5Oc', 'recGTeXgYfpQZuX5t', 'recTP5nwxZ6L0eBIZ']","","['recE7JmbIejNOK1Xp', 'recLwVLBdHUqSvdrf']"
"Lyra Evangelistica: Missionary Verses of Mashonaland (1909)","Lyra Evangelistica: Missionary Verses of Mashonaland","Single Author|Selected Works","1909","['recm2bt0VQoMSg44J']","['recR6YHhrfthZo5tS']","","",""," - ","","['recCX38xsPfLYg82u']","",""
"Antidote (1961)","Antidote","Single Author|Selected Works","1961","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recXTm4zJZ02xCnFm']","",""
"The Horn of my Love (1974)","The Horn of my Love","Single Author|Full Length","1974","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recsm3Y7wT0aYtv8D']","","['recb9a0o8qZkcKiAS']"
"Poems and Versions (1992)","Poems and Versions","Single Author|Selected Works","1992","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","",""," - ","","['recCq4NHWhWsVHfL2']","",""
"Walks in Rome (1987)","Walks in Rome","Single Author|Selected Works","1987","['recDqH1MHTodcxbq6']","['recLmeiLpn2d5oHcV']","","",""," - ","","['reccU1pozZ0gZixBQ']","",""
"Alleenspraak (1935)","Alleenspraak","Single Author|Selected Works","1935","","","","",""," - ","","['recZKBPR6ZaHHhvdu']","",""
"Coups de pilon (1956)","Coups de pilon","Single Author|Selected Works","1956","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recm3pYZSBeOxx0Ou']","",""
"Heuningsteen (1980)","Heuningsteen","Single Author|Selected Works","1980","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recd70gfJRwEcFvZO']","",""
"Echoes (Collected Works of Rudyard Kipling) (2000)","Echoes (Collected Works of Rudyard Kipling)","Single Author|Collected Works","2000","['recTtUEqmxtmkA8Hw']","","","",""," - ","","['recgPzMKRTxNo7Bf3']","",""
"La Coupe de cendres: poèmes (1924)","La Coupe de cendres: poèmes","Single Author|Selected Works","1924","","","","",""," - ","","['recTCYXw10COjQCZc']","",""
"Traduit de la nuit (1935)","Traduit de la nuit","Single Author|Selected Works","1935","['recqXwkGSfWXSY8AI']","['recNHqLPj6mI49ZDJ']","","",""," - ","","['rec0Q8BLihRYT8PjL']","",""
"A Man of the People (1966)","A Man of the People","Single Author|Full Length","1966","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recoHQets5NErSkdi', 'recK6A7p9MfZPdRyz']","","['rec0smUvluYtYb152', 'recIrdnJshsoZywqZ']"
"Sew the Old Days and Other Poems (1985)","Sew the Old Days and Other Poems","Single Author|Selected Works","1985","['recnbn7VeDWh0PMTU']","['recR6YHhrfthZo5tS']","","",""," - ","","['recvSpa7wROcoeg8E']","",""
"To the Gods the Shades: New and Collected Poems (1976)","To the Gods the Shades: New and Collected Poems","Single Author|Selected Works","1976","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","",""," - ","","['recZrLEll8VpylGkj']","",""
"Beminde Antarktika (Beloved Antarctica) (1974)","Beminde Antarktika (Beloved Antarctica)","Single Author|Selected Works","1974","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['rectC07C28QPE4Tga']","",""
"Living and the Dead Selected and New Poems (1996)","Living and the Dead Selected and New Poems","Single Author|Selected Works","1996","['recR39NoWWMuOJoDO']","['recdmzHJTksmBYBa6']","","",""," - ","","['recBvxrLTylFhJlfX']","",""
"A Short History of West Africa (1975)","A Short History of West Africa","Single Author|Full Length","1975","['recpLUfamQkTp1CRI']","","","",""," - ","","['rec5f5tzx2LL6vBMg']","","['recPYudkZMt7z98iw']"
"An anthology of traditional African Poems (1966)","An anthology of traditional African Poems","Anthology","1966","['recqjzd8XHCYYoJZN']","['recR6YHhrfthZo5tS']","","",""," - ","","","","['rec4dMEcqxt6NxgFs']"
"Footnote (Voetskrif) (1976)","Footnote (Voetskrif)","Single Author|Selected Works","1976","","['recFjYFloIc1MhnAb']","","",""," - ","","['recDiPJ7mfpBvOYOl']","",""
"Poems of Black Africa (1975)","Poems of Black Africa","Anthology","1975","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec6e2MyS208IVmZ5', 'reckHxeKQOtF88L0w', 'recZ4VVq9yylbQbnN']","","['recjpnB6GZQDx9dfZ']"
"Grotwater (1989)","Grotwater","Single Author|Selected Works","1989","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['rectGt3xnBtNM7DJj']","",""
"Sydney Clouts: Collected Poems (1984)","Sydney Clouts: Collected Poems","Single Author|Collected Works","1984","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recTvEPq5sSZPTJ1Q']","",""
"Mortality: Poems (1968)","Mortality: Poems","Single Author|Selected Works","1968","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['reckbqU0Rffp0JTUw']","",""
"Tyd van Verhuising (1975)","Tyd van Verhuising","Single Author|Selected Works","1975","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recyozmbIA64n6CYP']","",""
"Lady Anne: A Chronicle in Verse (1989)","Lady Anne: A Chronicle in Verse","Single Author|Selected Works","1989","['recQBWBFiYwnofyGr']","['rec68AEiD1mpRqxWy']","","",""," - ","","['rec2wLFvkJP2R9Aw9']","",""
"Veld Patriarch and Other Poems (1949)","Veld Patriarch and Other Poems","Single Author|Selected Works","1949","['recJ8sAV5dNOppLTN']","['recR6YHhrfthZo5tS']","","",""," - ","","['recrKiVgkn68WZs5G']","","['recdAAjTNsR5VEcE4']"
"The Man Died: Prison Notes of Wole Soyinka (1988)","The Man Died: Prison Notes of Wole Soyinka","Single Author|Full Length","1988","['recNDtprUGx9T3vPf']","","","",""," - ","","['recUdm3Sdpavxw8Qu']","","['recFjioXds4eBb3DB']"
"Christmas in Africa (1975)","Christmas in Africa","Single Author|Selected Works","1975","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['rechA8w54UT3VKnWY']","",""
"Oos Wes Tuis Bes Distrik Ses (1973)","Oos Wes Tuis Bes Distrik Ses","Single Author|Selected Works","1973","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recAiTZeqTuxHE97x']","",""
"The Family Tree (1929)","The Family Tree","Single Author|Selected Works","1929","['rec3BNQcXKfIGMA7t']","['recR6YHhrfthZo5tS']","","",""," - ","","['recl70NCKARgJkY9W']","",""
"Selected Poems (1970)","Selected Poems","Single Author|Selected Works","1970","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recYxhKkHeI9gqm5b', 'recfVSzHDAbH00gbQ', 'recK3F5XEx9qHzJ38', 'recX2pOCZIJMPGMS0', 'rec1J9dfiaaBYVhbJ', 'rec1SUWfraEyMhPSm', 'recNCTy1KNqP4TUWc']","","['recUOB2MhRPPmNyxa']"
"Of Chameleons and Gods (1981)","Of Chameleons and Gods","Single Author|Selected Works","1981","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recaCjJeKML8m2jJs']","",""
"The Handy Man, and Other Verses (1900)","The Handy Man, and Other Verses","Single Author|Selected Works","1900","['recDNIiLLyPChg9eS']","","","",""," - ","","","",""
"Flowering Reeds (1933)","Flowering Reeds","Single Author|Selected Works","1933","['recJScx3oVVYRuUXe']","['recR6YHhrfthZo5tS']","","",""," - ","","['recDBnkcvC0L95j9f']","",""
"Our Sister Killjoy (1994)","Our Sister Killjoy","Single Author|Full Length","1994","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recnrXnoliHZfzDjs']","","['recGlQul2iPbu5riX']"
"Éthiopiques (1956)","Éthiopiques","Single Author|Selected Works","1956","['recyTRqe9Ui22BhUh']","","","",""," - ","","['recBAmoVNEk5VnloP']","",""
"Premiers Essais (First Attempts) (1947)","Premiers Essais (First Attempts)","Single Author|Selected Works","1947","","","","",""," - ","","['recWT1VnvCRdqbhsG']","",""
"Soldiers Bathing (1954)","Soldiers Bathing","Single Author|Selected Works","1954","['recGtMguDqez734LJ']","['recR6YHhrfthZo5tS']","","",""," - ","","['recdSN7D8sqILc0V9']","",""
"The Second Round (1966)","The Second Round","Single Author|Full Length","1966","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recmo99lhiYXdESQT', 'recuKk69nCllPDKKQ', 'rec3RpEkQGq4h4LxO', 'recwH2ZlwmFYt6oJf', 'recxPsZr8ni2vjJsc', 'recdAhNQjCmqoILfE', 'recde1b7WPzQFv5NH', 'recgTIpu7DnP4Hcyh', 'recQ2Rke2xRb1fZdG']","","['recENYPFi07koxKf6']"
"William Plomer: Collected Poems (1960)","William Plomer: Collected Poems","Single Author|Collected Works","1960","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recTxlYR2jHaEgWGN']","",""
"Giovanni Jacopo Meditates on the High-IQ Haiku (1995)","Giovanni Jacopo Meditates on the High-IQ Haiku","Single Author|Selected Works","1995","['recKjgCFjZnKAd9uB']","['recFjYFloIc1MhnAb']","","",""," - ","","['rec6EmO2sAgDKfsBt']","",""
"The Development of African Drama (1982)","The Development of African Drama","Single Author|Full Length","1982","['recqjzd8XHCYYoJZN']","['recR6YHhrfthZo5tS']","","",""," - ","","['recTthiUPLPX47Luu']","","['recfpF3zzwX1EL7PY']"
"The Ancestors and the Sacred Mountain: Poems (1982)","The Ancestors and the Sacred Mountain: Poems","Single Author|Selected Works","1982","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recnQPVrwiaWbfc5W']","",""
"Black, French and African: A life of Léopold Sédar Senghor (1990)","Black, French and African: A life of Léopold Sédar Senghor","Single Author|Full Length","1990","['rec7ssgNqHlPi0rvl']","['reccmZIG8WaCtw0My']","","",""," - ","","['recito1v40co2gspo']","",""
"Songs by the Stoep (1905)","Songs by the Stoep","Single Author|Selected Works","1905","['recjkId8nw8xhIK2X']","","","",""," - ","","['rec7CfaTYft18Cskz']","",""
"An African Year (1912)","An African Year","Single Author|Full Length","1912","['recWAkgjRUMcN4caq']","","","",""," - ","","['recMlON2SMuoh4u3g']","",""
"Lost in Blunderland: The Further Adventures of Clara (1903)","Lost in Blunderland: The Further Adventures of Clara","Single Author|Full Length","1903","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"Etikette op My Koffer; Bladsye uit'n Amerikaase Reisjoernal (1961)","Etikette op My Koffer; Bladsye uit'n Amerikaase Reisjoernal","Single Author|Selected Works","1961","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recDQRGJLgFvvKFEw']","",""
"Notes for Poems (1927)","Notes for Poems","Single Author|Selected Works","1927","['rec3BNQcXKfIGMA7t']","['recR6YHhrfthZo5tS']","","",""," - ","","['recAbAyiXUzSIzdUQ']","",""
"Wole Soyinka: Modern African writers (1978)","Wole Soyinka: Modern African writers","Single Author|Full Length","1978","['recnbn7VeDWh0PMTU']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec8AWjsFDXODsqaT', 'rec60ozpNIw6N4oPq', 'recMCPUzu62RDQquz']","",""
"The Fivefold Screen (1932)","The Fivefold Screen","Single Author|Selected Works","1932","['rec8UyQGMycXbVIYA']","","","",""," - ","","['recgkYqZi4tTT9lTI']","",""
"The Penguin Book of Southern African Verse (1989)","The Penguin Book of Southern African Verse","Anthology","1989","['reckanGgoZFeNEAni']","['recR6YHhrfthZo5tS']","","",""," - ","","['recFcdRWyYW815fze', 'recKPpAoqpzYIsmgf', 'recpZjFxJkKffbvMi', 'receKEYxbeSBlm7H4', 'recsr3Vd86UOfnggA', 'rechVihYs8zYgAbcx', 'recM5YBAfAbq8zBWO']","","['recchpyRVXsLJEFm7']"
"A Book of South African Verse (1968)","A Book of South African Verse","Anthology","1968","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recWjhtVilySipK6i', 'recdHfaypEPkQD7R5']","",""
"African Writers Talking: A collection of interviews (1972)","African Writers Talking: A collection of interviews","Anthology","1972","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recEw1xyJunuqzSiz', 'recTRPP0g7Fl3XLP1', 'rec702zJnoAYaWWLQ', 'recrtGllGSzvSBkvp', 'recu9djCTvUPm8ePU']","",""
"The life of William Booth, the Founder of the Salvation Army (1920)","The life of William Booth, the Founder of the Salvation Army","Single Author|Full Length","1920","","","","",""," - ","","","",""
"State of the Union (as J.P. Clark Bekederemo) (1985)","State of the Union (as J.P. Clark Bekederemo)","Single Author|Selected Works","1985","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rectbysFDQPNbUc5n']","",""
"The Georgiad (1931)","The Georgiad","Single Author|Selected Works","1931","['recJScx3oVVYRuUXe']","['recR6YHhrfthZo5tS']","","",""," - ","","['recL9G7aYz72rwDKb']","",""
"Chants d'ombres (1945)","Chants d'ombres","Single Author|Selected Works","1945","['recusHIMurW6VPON7']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recUsUoh1NH8CZqBk']","",""
"Clara in Blunderland: A Political Parody Based on Lewis Carroll's Wonderland (1902)","Clara in Blunderland: A Political Parody Based on Lewis Carroll's Wonderland","Single Author|Full Length","1902","['rec6OIC8rAMMq9RfI']","","","",""," - ","","","",""
"Koral van die Dood (1956)","Koral van die Dood","Single Author|Selected Works","1956","['reck5xcR3GoDfQy6k']","['recByKWBNYTnFNrCp']","","",""," - ","","['recUprtRUpXhpabcr']","",""
"The Civil War Cantos (1987)","The Civil War Cantos","Single Author|Selected Works","1987","['recdyTZTQ12gk90g1']","","","",""," - ","","['recm0zB3vY5u72kwb']","",""
"Sê Sjibbolet (1963)","Sê Sjibbolet","Single Author|Selected Works","1963","['recNGbWkunrExznLH']","['recByKWBNYTnFNrCp']","","",""," - ","","['recvfnC1p9Ex0qtLf']","",""
"The Five Nations (1903)","The Five Nations","Single Author|Selected Works","1903","['recXtCF2txBz7xGpR']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recRAvtD2Zc4mYaMV']","",""
"The Fishermen (2015)","The Fishermen","Single Author|Full Length","2015","","","","",""," - ","","","","['rec2APGeYYjUPHm4U']"
"Joernaal van Jorik (1949)","Joernaal van Jorik","Single Author|Selected Works","1949","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recf6JXCnJInypXXp']","",""
"Stranger to Europe: Poems 1939 to 1949 (1952)","Stranger to Europe: Poems 1939 to 1949","Single Author|Collected Works","1952","['reccegMyaZmmzn4hx']","","","",""," - ","","['recbYDSXYPZFRcqI1']","",""
"An Ampler Sky: Poems (1909)","An Ampler Sky: Poems","Single Author|Selected Works","1909","['recv6M0cEpbUkOb0O']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recI7r9PQ3NpPtxzB']","",""
"In a Bombed House, 1941 (1942)","In a Bombed House, 1941","Single Author|Selected Works","1942","","","","",""," - ","","['reccgQDDH7TBZ0X9h']","",""
"Close Company: Stories of mothers and daughters (1987)","Close Company: Stories of mothers and daughters","Anthology","1987","['rec2nNIo1HU4aDtUH']","","","",""," - ","","['recSWmp73hrfMZSnb', 'rec6ahkUCRLlg9Isq']","","['recboIT90PE5UmOyd']"
"Later On (1983)","Later On","Single Author|Selected Works","1983","['reclEesg4cdAVqQ2U']","","","",""," - ","","['recknE5MknsgTnRHa']","",""
"Where the Wind Wills (2011)","Where the Wind Wills","Single Author|Selected Works","2011","['reczwXhioCJMprezj']","['recCu7WnWqVg1A0Oy']","","",""," - ","","['recVxBicSwL6SI23f']","",""
"The Voice (1964)","The Voice","Single Author|Full Length","1964","['recX5DMN31T5VWem9']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec7BiT1njlodvOWh', 'rec52JAqRIpcfOySG', 'recJGrEd7ZAmDWZiu', 'recKZT8ZpJ14pKAtH', 'recFBTih7yHg7AIGu', 'recCixPweuVpr1ohL', 'rec2RD3oIS8pRHIn4', 'recZwHi5uPNXkZR40', 'recfwaPAwOvnP9Xyt', 'recDZRXL4gHy426d5', 'recnuhrlBUyiylV8c']","","['recH6pVzA8JyzlvyO']"
"Gray walls (1953)","Gray walls","Single Author|Selected Works","1953","","","","",""," - ","","['recFDmy17yNugbHnU']","",""
