"airtableID","Unique ID","Name Built","Major african poet","nationality-country","Short biography","name-letter","year_degree_institution","events","work roles","news item roles","birth-decade","nationality-region","Date birth","Date death","birth_spatial.country","birth_spatial.city"
"rectR28bCv8ff49mc","apdp.person.000980","Krog, Antjie","True","[""South Africa""]","Antjie Krog was born in 1952 on a farm in the Free State; she is a renowned poet in South Africa. Krog has published nine collections of poetry and has received awards such as the most promising young writer in 1973, the Dutch/Flemish prize and the Reina Prinsen-Geerligs prize for most promising young writer in 1976, and, in 1990, the Hertzog prize for the best poetry volume over three years. Krog reported as a journalist on the Truth and Reconciliation Committee in South Africa and received the Hiroshima Foundation for Peace and Culture in the year 200 for her work promoting peace through the arts.

https://www.sahistory.org.za/people/antjie-krog","K","[""1973 BA\n: University of the Orange Free State"", ""1976 MA: University of Pretoria""]","[""South African Truth and Reconciliation Commission (South Africa |  |  |  |  |  |)"", ""Whitbread Book Awards Announcement (England |  |  |  |  |  |)""]","|Mentioned Poet;;;[Country of My Skull (1998)](apdp.work.000002)|Poet;;;[Country of My Skull (1998)](apdp.work.000002)|Work Author;;;[Dogter van Jefta (Daughter of Jephthah) (1970)](apdp.work.000535)|Poet;;;[Dogter van Jefta (Daughter of Jephthah) (1970)](apdp.work.000535)|Work Author;;;[Januarie-suite (January Suite) (1972)](apdp.work.000538)|Poet;;;[Januarie-suite (January Suite) (1972)](apdp.work.000538)|Work Author;;;[Beminde Antarktika (Beloved Antarctica) (1974)](apdp.work.000530)|Poet;;;[Beminde Antarktika (Beloved Antarctica) (1974)](apdp.work.000530)|Work Author;;;[Mannin (Difficult to translate: the name of Eve given in Biblical terms if Adam being ""man"", Eve was called ""wo-man"") (1974)](apdp.work.000537)|Poet;;;[Mannin (Difficult to translate: the name of Eve given in Biblical terms if Adam being ""man"", Eve was called ""wo-man"") (1974)](apdp.work.000537)|Work Author;;;[Otters in Bronslaai (Otters in Watercress Salad) (1981)](apdp.work.000541)|Poet;;;[Otters in Bronslaai (Otters in Watercress Salad) (1981)](apdp.work.000541)|Work Author;;;[Jerusalemgangers (Jerusalem-goers) (1985)](apdp.work.000540)|Poet;;;[Jerusalemgangers (Jerusalem-goers) (1985)](apdp.work.000540)|Work Author;;;[Lady Anne: A Chronicle in Verse (1989)](apdp.work.000531)|Poet;;;[Lady Anne: A Chronicle in Verse (1989)](apdp.work.000531)|Work Author;;;[Gedigte 1989–1995 (Poems) (1995)](apdp.work.000533)|Poet;;;[Gedigte 1989–1995 (Poems) (1995)](apdp.work.000533)|Work Author;;;[Kleur kom nooit alleen nie (Colour never comes alone) (2000)](apdp.work.000542)|Poet;;;[Kleur kom nooit alleen nie (Colour never comes alone) (2000)](apdp.work.000542)|Work Author;;;[Down to my last skin: Poems (2009)](apdp.work.000536)|Poet;;;[Down to my last skin: Poems (2009)](apdp.work.000536)|Work Author;;;[Met woorde soos met kerse (2002)](apdp.work.000534)|Poet;;;[Met woorde soos met kerse (2002)](apdp.work.000534)|Work Author;;;[The Stars Say 'Tsau' (2004)](apdp.work.000539)|Poet;;;[The Stars Say 'Tsau' (2004)](apdp.work.000539)|Work Author;;;[Body bereft (2006)](apdp.work.000532)|Poet;;;[Body bereft (2006)](apdp.work.000532)|Work Author;;;[Skinned: Selected Poems (2013)](apdp.work.000529)|Poet;;;[Skinned: Selected Poems (2013)](apdp.work.000529)|Work Author","Radio: Radio 3  (1999-01-24)|Poet;;;Witness to man's inhumanity (1999-01-24)|Poet;;;Out of South Africa (2004-06-27)|Mentioned Poet;;;Hungry for More (2007-11-04)|Mentioned Poet","1950","[""Southern Africa""]","1952-10-23","","[""South Africa""]",""
"recwMQtGCJJjvPZEA","apdp.person.001037","Gouldsbury, Cullen","","[""England""]","Cullen Gouldsbury was a British poet born in Darjeeling in 1881 who served as an officer in Northern Rhodesia. Though not an African, his poetry often featured the African landscape. Gouldsbury died in World War I.

https://en.wikisource.org/wiki/Author:Cullen_Gouldsbury","G","","[""Royal Colonial Institute, Meeting (England |  |  | London |  |  |)""]","[Circe's Garden (1907)](apdp.work.000585)|Poet;;;[Circe's Garden (1907)](apdp.work.000585)|Work Author;;;[God's Outpost (1907)](apdp.work.000589)|Poet;;;[God's Outpost (1907)](apdp.work.000589)|Work Author;;;[Maturin's Marriage (1907)](apdp.work.000590)|Poet;;;[Maturin's Marriage (1907)](apdp.work.000590)|Work Author;;;[Rhodesian Rhymes (1909)](apdp.work.000588)|Poet;;;[Rhodesian Rhymes (1909)](apdp.work.000588)|Work Author;;;[The Tree of Bitter Fruit (1910)](apdp.work.000587)|Poet;;;[The Tree of Bitter Fruit (1910)](apdp.work.000587)|Work Author;;;[The Great Plateau of Northern Rhodesia (1911)](apdp.work.000591)|Poet;;;[The Great Plateau of Northern Rhodesia (1911)](apdp.work.000591)|Work Author;;;[An African Year (1912)](apdp.work.000586)|Poet;;;[An African Year (1912)](apdp.work.000586)|Work Author;;;[More Rhodesian Rhymes (1913)](apdp.work.000592)|Poet;;;[More Rhodesian Rhymes (1913)](apdp.work.000592)|Work Author","Oversea Poetry (1918-01-24)|Poet","1880","[""United Kingdom""]","1881-01-01","1916-01-01","[""South Africa""]",""
"recHqhKMTrYFElsxy","apdp.person.001279","Cripps, Arthur Shearly","True","[""England""]","Arthur Shearly Cripps, an Anglican priest, activist, and poet, was born in England in 1869, though he relocated to what is now Zimbabweand in the early 1900s to become a missionary. Cripps worked with Africans against the British South Africa Company's land distribution regulations. He published ""An Africa for the Africans"" in 1927 as part of this activism.

https://en.wikipedia.org/wiki/Arthur_Shearly_Cripps","C","[""1891 BA\n: Trinity College"", ""1897 MA\n: Trinity College"", ""1893 [Unknown]: Cuddesdon Theological College ""]","[""Royal Colonial Institute, Meeting (England |  |  | London |  |  |)""]","[Titania and Other Poems (1900)](apdp.work.000669)|Poet;;;[Titania and Other Poems (1900)](apdp.work.000669)|Work Author;;;[Jonathan: A Song of David (1902)](apdp.work.000672)|Poet;;;[Jonathan: A Song of David (1902)](apdp.work.000672)|Work Author;;;[Magic Casements (1905)](apdp.work.000664)|Poet;;;[Magic Casements (1905)](apdp.work.000664)|Work Author;;;[Lyra Evangelistica: Missionary Verses of Mashonaland (1909)](apdp.work.000663)|Poet;;;[Lyra Evangelistica: Missionary Verses of Mashonaland (1909)](apdp.work.000663)|Work Author;;;[Faerylands Forlorn: African Tales (1910)](apdp.work.000671)|Poet;;;[Faerylands Forlorn: African Tales (1910)](apdp.work.000671)|Work Author;;;[The Two of Them Together (1910)](apdp.work.000673)|Poet;;;[The Two of Them Together (1910)](apdp.work.000673)|Work Author;;;[Pilgrimage of Grace: Verses on a Mission (1912)](apdp.work.000665)|Poet;;;[Pilgrimage of Grace: Verses on a Mission (1912)](apdp.work.000665)|Work Author;;;[Pilgrims Joy: Verses (1916)](apdp.work.000670)|Poet;;;[Pilgrims Joy: Verses (1916)](apdp.work.000670)|Work Author;;;[Lake and War: African Land and Water Verses (1917)](apdp.work.000666)|Poet;;;[Lake and War: African Land and Water Verses (1917)](apdp.work.000666)|Work Author;;;[An Africa For the Africans: A Plea on Behalf of Territorial Segregation Areas and Their Freedom in a Southern African Colony (1927)](apdp.work.000667)|Poet;;;[An Africa For the Africans: A Plea on Behalf of Territorial Segregation Areas and Their Freedom in a Southern African Colony (1927)](apdp.work.000667)|Work Author;;;[Africa: Verses (1939)](apdp.work.000668)|Poet;;;[Africa: Verses (1939)](apdp.work.000668)|Work Author","Oversea Poetry (1918-01-24)|Poet;;;Letters to the Editor (1929-06-09)|Mentioned Poet;;;A poet's corner of a foreign field (2004-01-25)|Mentioned Poet","1860","[""United Kingdom""]","1869-06-10","1952-08-01","[""England""]",""
"recXO2WiZ2k8Mqr6o","apdp.person.000479","Small, Adam","True","[""South Africa""]","Adam Small, born 1936, was a South African poet and writer who wrote primarily in Afrikaans and was involved in the Black Consciousness Movement. He frequently critiqued the racial discrimination present in South Africa through his work. He translated the works of poet  N. P. van Wyk Louw into English.

https://en.wikipedia.org/wiki/Adam_Small_(writer)","S","[""1963 [unknown]: University of Cape Town""]","[""Population Registration Act (South Africa |  |  | Cape Town |  |  |)"", ""University of Western Cape closed, student demonstrations (South Africa |  |  | Cape Town |  |  |)""]","[Verse van die Liefde (1957)](apdp.work.000307)|Poet;;;[Verse van die Liefde (1957)](apdp.work.000307)|Work Author;;;[Klein Simbool: Prosaverse (1958)](apdp.work.000308)|Poet;;;[Klein Simbool: Prosaverse (1958)](apdp.work.000308)|Work Author;;;[Kitaar my kruis (1961)](apdp.work.000310)|Poet;;;[Kitaar my kruis (1961)](apdp.work.000310)|Work Author;;;[Sê Sjibbolet (1963)](apdp.work.000306)|Poet;;;[Sê Sjibbolet (1963)](apdp.work.000306)|Work Author;;;[Oos Wes Tuis Bes Distrik Ses (1973)](apdp.work.000305)|Poet;;;[Oos Wes Tuis Bes Distrik Ses (1973)](apdp.work.000305)|Work Author;;;[Black Bronze Beautiful (1975)](apdp.work.000309)|Poet;;;[Black Bronze Beautiful (1975)](apdp.work.000309)|Work Author","S. A. Professor Resigns (1973-06-22)|Poet;;;Coloured academics refuse to take part in 'witch-hunt' (1973-06-18)|Poet;;;In 'The Times' tomorrow (1978-03-10)|Poet;;;The language for poets (1978-03-11)|Poet","1930","[""Southern Africa""]","1936-12-21","2016-06-25","[""South Africa""]",""
"recmyildMjXhoC72X","apdp.person.000828","Clark, John Pepper 'J. P.'","True","[""Nigeria""]","Born in 1935 in Nigeria, John Pepper Clark is a celebrated Nigerian poet, journalist, playwright, and scholar. Clark founded ""The Horn,"" a student literary journal at University of Ibadan that many other African poets would come to publish in. He later would come to be the co-editor of another literary journal, ""Black Orpheus."" Clark's poetry often reveres the landscape of Africa.

https://www.britannica.com/biography/John-Pepper-Clark","C","[""1960 [unknown]: University of Ibadan"", "" -   - : Princeton University""]","[""Nigerian Civil War (Nigeria |  |  | Enugu |  |  |)""]","[Understanding African Poetry: A study of Ten Poets (1982)](apdp.work.000055)|Poet;;;[The Example of Shakespeare (1970)](apdp.work.000102)|Poet;;;[The Example of Shakespeare (1970)](apdp.work.000102)|Work Author;;;[Poems from Black Africa (1963)](apdp.work.000069)|Poet;;;[Leopold Sedar Senghor (1963)](apdp.work.000075)|Mentioned Poet;;;[Long Drums and Cannons (1968)](apdp.work.000303)|Mentioned Poet;;;[A History of Neo-African Literature (1969)](apdp.work.000302)|Mentioned Poet;;;[No Longer at Ease (1960)](apdp.work.000180)|Poet;;;[Arrow of God (1964)](apdp.work.000181)|Poet;;;[The Day Natal Took Off: A Satire (1963)](apdp.work.000184)|Poet;;;[The Voice (1964)](apdp.work.000090)|Poet;;;[The Second Round (1966)](apdp.work.000177)|Poet;;;[The Interpreters (1964)](apdp.work.000185)|Poet;;;[Sirens, Knuckles, Boots. Mbari Publications, 1963. (1963)](apdp.work.000179)|Poet;;;[Lenrie Peters: Poems (1964)](apdp.work.000183)|Poet;;;[Heavensgate (1962)](apdp.work.000178)|Poet;;;[Limits (1964)](apdp.work.000182)|Poet;;;[The Chosen Tongue: English writing in the tropical world (1970)](apdp.work.000001)|Mentioned Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Poet;;;|Mentioned Poet;;;[Poems (1962)](apdp.work.000684)|Poet;;;[Poems (1962)](apdp.work.000684)|Work Author;;;[A Reed in the Tide (1965)](apdp.work.000683)|Poet;;;[A Reed in the Tide (1965)](apdp.work.000683)|Work Author;;;[Casualties: Poems 1966–68 (1970)](apdp.work.000685)|Poet;;;[Casualties: Poems 1966–68 (1970)](apdp.work.000685)|Work Author;;;[Urhobo Poetry (1980)](apdp.work.000687)|Poet;;;[Urhobo Poetry (1980)](apdp.work.000687)|Work Author;;;[A Decade of Tongues: Selected Poems 1958–1968 (1981)](apdp.work.000686)|Poet;;;[A Decade of Tongues: Selected Poems 1958–1968 (1981)](apdp.work.000686)|Work Author;;;[State of the Union (as J.P. Clark Bekederemo) (1985)](apdp.work.000682)|Poet;;;[State of the Union (as J.P. Clark Bekederemo) (1985)](apdp.work.000682)|Work Author;;;[A Lot from Paradise (1999)](apdp.work.000688)|Poet;;;[A Lot from Paradise (1999)](apdp.work.000688)|Work Author;;;[A Reed in the Tide (1965)](apdp.work.000176)|Poet;;;[A Reed in the Tide (1965)](apdp.work.000176)|Work Author;;;[America, Their America (1964)](apdp.work.000190)|Author;;;[America, Their America (1964)](apdp.work.000190)|Work Author","Paths to Refinement (1969-07-24)|Mentioned Poet;;;Scorning the Sonnet (1983-09-16)|Poet;;;Nigerian traditions (1972-01-07)|Poet;;;Poetry from Africa (1963-08-02)|Poet;;;Literature as Symptom (1963-01-11)|Poet;;;Ways into Africa (1969-01-02)|Poet;;;Books of the 1960s-2 (1965-09-16)|Poet;;;""The Power of Print, II: What Do African Intellectuals Read? (1972-05-12)""|Mentioned Poet;;;Writing in West Africa: A Chance to Adapt and to Experiment (1962-08-10)|Poet;;;Literature as Symptom (1963-01-11)|Poet;;;Leading source for Negro art (1971-10-01)|Poet;;;The Literature of the Civil War (1972-03-03)|Mentioned Poet;;;Full Analysis of the War Awaited (1972-03-06)|Poet;;;Eng. Lit. Expands (1969-12-04)|Poet;;;African Writers Series reaches 100 (1972-02-25)|Poet;;;Africa speaks (1972-04-09)|Poet;;;Elite Performances (1983-01-14)|Poet;;;Commonwealth writing from Africa (1965-09-16)|Poet;;;The Primacy of the Performer (1976-09-17)|Poet;;;A Literature in the Making (1935-05-31)|Academic;;;Autumn Pick (1965-08-23)|Mentioned Poet;;;Theatres (1965-08-29)|Mentioned Poet;;;Four cities jaunt (1965-09-12)|Mentioned Poet;;;Four cities jaunt (1965-09-12)|Mentioned Poet;;;Africa: mask & face (1965-09-19)|Mentioned Poet","1930","[""West Africa""]","1935-04-06","","[""Nigeria""]",""
"recX8RB530gqZ4KJi","apdp.person.000489","Haresnape, Geoffrey","True","[""South Africa""]","Geoffrey Haresnape is a South African poet and writer who, in the 1950s at University of Cape Town, edited the student literary magazine, ""Groote Schuur,"" which published the  work of J. M. Coetzee, C. J. (Jonty) Driver, Stephen Gray, Breyten Breytenbach and Adam Small. From 1980 to 1989, he was editor of ""Contrast,"" South Africa’s leading literary magazine. He is the Vice President of PEN South Africa, an Emeritus Professor of English at the University of Cape Town, an Honorary Vice-President of the English Academy of Southern Africa.

http://www.english.uct.ac.za/geoff-haresnape","H","[""1961 MA: University of Cape Town"", ""1982 PhD: University of Sheffield""]","[""International PEN Conference (England |  | Cambridgeshire | Cambridge |  |  |)""]","[Drive of the Tide: Poems (1976)](apdp.work.000580)|Poet;;;[Drive of the Tide: Poems (1976)](apdp.work.000580)|Work Author;;;[New-Born Images: Poems (1991)](apdp.work.000579)|Poet;;;[New-Born Images: Poems (1991)](apdp.work.000579)|Work Author;;;[Mulberries in Autumn (1996)](apdp.work.000576)|Poet;;;[Mulberries in Autumn (1996)](apdp.work.000576)|Work Author;;;[Living and the Dead Selected and New Poems (1996)](apdp.work.000577)|Poet;;;[Living and the Dead Selected and New Poems (1996)](apdp.work.000577)|Work Author;;;[Where the Wind Wills (2011)](apdp.work.000578)|Poet;;;[Where the Wind Wills (2011)](apdp.work.000578)|Work Author;;;[Selected Poems (1996)](apdp.work.000581)|Poet;;;[Selected Poems (1996)](apdp.work.000581)|Work Author","Stirring a sense of common purpose (1988-04-22)|Poet","1930","[""Southern Africa""]","1939-01-01","","[""South Africa""]",""
"reclRsCpN7UKUY3Tk","apdp.person.000811","Moloise, Benjamin","True","[""South Africa""]","Benjamin Moloise, born 1955, was a South African poet and political activists who was hanged by the South African apartheid government in 1985. He had been accused of murdering a policeman in 1982. He was a supporter of the then-forbidden African National Congress, which claimed Moloise had had nothing to do with the murder.

https://en.wikipedia.org/wiki/Benjamin_Moloise","M","","[""Execution of Benjamin Moloise (South Africa |  |  | Johannesburg |  |  |)""]","","Black poet reprieved (1985-08-21)|Poet;;;Pretoria judge delays hanging (1985-08-21)|Poet;;;Black poet will hang on Friday after Botha rules out retrial (1985-10-16)|Poet;;;Black poet defiant in face of death (1985-10-18)|Poet;;;Violence Hits Central Johannesburg after Execution of Moloise (1985-10-19)|Poet;;;Police hold 280 after apartheid sit-down (1985-10-20)|Mentioned Poet;;;""Crafty Words, Bloody Deeds (1985-10-20)""|Mentioned Poet;;;Repressing the Rebels (1985-10-20)|Mentioned Poet","1950","[""Southern Africa""]","1955-01-01","1985-10-18","[""South Africa""]",""
"recLnMJdgNFWWgjLQ","apdp.person.000213","El Hadj Belarbi, Sheik Benguedda","True","","Over eighty at the time of his death in 1932, Sheik Benguedda El Hadj Belarbi was a North African Muslim poet. He was the proprietor of a Moorish cafe which was for many years a place  of pilgrimage for poets from all over North Africa. He had a library with the collected works of poets from Morocco and Western Algeria.","E","","[""Death of Sheik Benguedda El Hadj Belarbi (Algeria |  |  | Mazouna |  |  |)""]","","""Death Of A Moslem Poet: Last """"Minstrel"""" Of North Africa (1932-01-21)""|Poet","","","","1932-01-12","",""
"rechCmMdNpei8Hc3B","apdp.person.000117","Chipasula, Frank Mkalawile","True","[""Malawi""]","Frank Chipasula, born in 1949, was the first Malawian writer to have a poetry book published in English (""Visions and Reflections,"" 1972). In 1978 Chipasula went into exile and moved to the United States, where he would receive a PhD from Brown University in 1987 and work as a professor at the University of Nebraska at Omaha and Southern Illinois University.

https://www.poetryfoundation.org/poets/frank-chipasula","C","[""1976 BA\n: University of Zambia\n"", ""1982 MA\n: Yale University\n"", ""1987 PhD: Brown Univeristy""]","[""Death of Okot p'Bitek  (Uganda |  |  | Kampala |  |  |)""]","[The Heinemann Book of African Poetry in English (1990)](apdp.work.000034)|Poet;;;[Visions and Reflections (1972)](apdp.work.000689)|Poet;;;[Visions and Reflections (1972)](apdp.work.000689)|Work Author;;;[O Earth, Wait for Me (1984)](apdp.work.000690)|Poet;;;[O Earth, Wait for Me (1984)](apdp.work.000690)|Work Author;;;[Whispers in the Wings: New and Selected Poems (2001)](apdp.work.000691)|Poet;;;[Whispers in the Wings: New and Selected Poems (2001)](apdp.work.000691)|Work Author","The editor lied (1991-01-18)|Poet;;;Change from below (1992-03-27)|Poet;;;Different aesthetics (1990-05-18)|Mentioned Poet","1940","[""East Africa""]","1949-10-16","","[""Northern Rhodesia""]",""
"recURRbIgveOeoPqf","apdp.person.000409","Mapanje, Jack","True","[""Malawi""]","Jack Mapanje was born in Malawi in 1944. Mapanje’s poems consider the effects of exile, imprisonment, and political power. In 1981, he published his book Of Chameleons and Gods, which the Malawi government banned. Mapanje’s was arrested in 1987 and held without charge for four years. During this time, Mapanje was awarded the Rotterdam Poetry International Award in 1988. After his release in 1991, Mapanje moved to England, where he now teaches creative writing and literature.

https://www.poetryfoundation.org/poets/jack-mapanje


 ","M","["" -  BA\n: Univeristy of Malawi\n"", "" -  MPhil\n: Institute of Education London\n"", ""1983 PhD: University College London""]","[""Death of Okot p'Bitek  (Uganda |  |  | Kampala |  |  |)""]","[The Heinemann Book of African Poetry in English (1990)](apdp.work.000034)|Poet;;;[Of Chameleons and Gods (1981)](apdp.work.000484)|Poet;;;[Of Chameleons and Gods (1981)](apdp.work.000484)|Work Author;;;[The Chattering Wagtails of Mikuyu Prison (1993)](apdp.work.000485)|Poet;;;[The Chattering Wagtails of Mikuyu Prison (1993)](apdp.work.000485)|Work Author;;;[The Last of the Sweet Bananas: New and Selected Poems (2004)](apdp.work.000486)|Poet;;;[The Last of the Sweet Bananas: New and Selected Poems (2004)](apdp.work.000486)|Work Author;;;[The Beasts of Nalunga (2007)](apdp.work.000483)|Poet;;;[The Beasts of Nalunga (2007)](apdp.work.000483)|Work Author;;;[Skipping Without Ropes (1998)](apdp.work.000010)|Author;;;[Skipping Without Ropes (1998)](apdp.work.000010)|Work Author","The editor lied (1991-01-18)|Poet;;;Radio: Radio 4 (2002-08-25)|Poet;;;Change from below (1992-03-27)|Poet;;;Writers in plea for jailed poet (1987-12-06)|Mentioned Poet;;;Critics' choice (1992-12-15)|Mentioned Poet;;;Friday 12 November (1993-11-07)|Mentioned Poet;;;Critics' choice (1995-07-23)|Mentioned Poet;;;Radio 1 (1995-10-29)|Mentioned Poet;;;Voices from around the world (1999-01-03)|Mentioned Poet;;;Radio (2002-08-25)|Poet;;;Book events (2002-12-29)|Mentioned Poet;;;Book events (2003-01-05)|Mentioned Poet;;;Book events (2003-01-12)|Mentioned Poet;;;Book events (2003-06-29)|Mentioned Poet;;;What's happening in the literary world (2004-01-18)|Mentioned Poet;;;Monday 19 March (2012-03-18)|Mentioned Poet","1940","[""East Africa""]","1944-03-25","","[""Malawi""]",""
