title,authors,pub_title,pub_date,pub_issuenum,start_page,subjects,citation,url,doc_id,dvi_type,image_url
Current Periodicals,"['Iolo Aneurin Williams', 'I. A. Williams', 'Thomson Hill', 'W. Thomson Hill', 'Michael Peter Leopold Hamburger', 'M. Hamburger', 'Frank Herbert Brown', 'FRANK BROWN']",The Times Literary Supplement,"February 6, 1953",2662,94,['Periodicals'],"Williams, Iolo Aneurin, et al. ""Current Periodicals."" The Times Literary Supplement, no. 2662, 6 Feb. 1953, p. 94. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200094173/TLSH?u=linc74325&sid=gale_api&xid=5c93dc4f,GALE|EX1200094173,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1953-0206-0014']
Scorning the sonnet,['M. M. Carlin'],The Times Literary Supplement,"September 16, 1983",4198,996,,"Carlin, M. M. ""Scorning the sonnet."" The Times Literary Supplement, no. 4198, 16 Sept. 1983, p. 996. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200442182/TLSH?u=linc74325&sid=gale_api&xid=211500ed,GALE|EX1200442182,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1983-0916-0024']
David Philip,,The Times Literary Supplement,"September 16, 1983",4198,996,,"""David Philip."" The Times Literary Supplement, no. 4198, 16 Sept. 1983, p. 996. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200442183/TLSH?u=linc74325&sid=gale_api&xid=e3b4a400,GALE|EX1200442183,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1983-0916-0024']
Notes,,The Times Literary Supplement,"June 21, 1917",805,298,,"""Notes."" The Times Literary Supplement, no. 805, 21 June 1917, p. 298. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200020886/TLSH?u=linc74325&sid=gale_api&xid=68dd8d22,GALE|EX1200020886,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1917-0621-0010']
From veld-lovers to freedom fighters,['Lewis Nkosi'],The Times Literary Supplement,"November 21, 1980",4051,1341,"['Butler, Guy']","Nkosi, Lewis. ""From veld-lovers to freedom fighters."" The Times Literary Supplement, no. 4051, 21 Nov. 1980, p. 1341. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200431452/TLSH?u=linc74325&sid=gale_api&xid=d502ab58,GALE|EX1200431452,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1980-1121-0033']
B. H. BLACKWELL,,The Times Literary Supplement,"June 7, 1917",803,265,,"""B. H. BLACKWELL."" The Times Literary Supplement, no. 803, 7 June 1917, p. 265. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200020705/TLSH?u=linc74325&sid=gale_api&xid=951aa55a,GALE|EX1200020705,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1917-0607-0001']
I remember it well,['Cyril Connolly'],The Sunday Times,"June 27, 1971",7725,29,,"Connolly, Cyril. ""I remember it well."" Sunday Times, 27 June 1971, p. 29. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1800573735/STHA?u=linc74325&sid=gale_api&xid=4893b06d,GALE|FP1800573735,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1971-0627-0029']
Different aesthetics,['Giles Foden'],The Times Literary Supplement,"May 18, 1990",4546,533,"['Laing, Kojo']","Foden, Giles. ""Different aesthetics."" The Times Literary Supplement, no. 4546, 18 May 1990, p. 533. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200460361/TLSH?u=linc74325&sid=gale_api&xid=b68767ad,GALE|EX1200460361,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1990-0518-0021']
Haitian High Drama,"['Gerald Holyoake Moore', 'G. MOORE', 'Geoffrey Herbert Moore']",The Times Literary Supplement,"July 16, 1964",3255,633,,"Moore, Gerald Holyoake, et al. ""Haitian High Drama."" The Times Literary Supplement, no. 3255, 16 July 1964, p. 633. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200333739/TLSH?u=linc74325&sid=gale_api&xid=bce2e831,GALE|EX1200333739,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1964-0716-0013']
A garbled message,['Stephen Watson'],The Times Literary Supplement,"May 18, 1990",4546,533,,"Watson, Stephen. ""A garbled message."" The Times Literary Supplement, no. 4546, 18 May 1990, p. 533. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200460359/TLSH?u=linc74325&sid=gale_api&xid=f1b13077,GALE|EX1200460359,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1990-0518-0021']
Effects of exile,['Anthony Delius'],The Times Literary Supplement,"May 14, 1982",4128,541,,"Delius, Anthony. ""Effects of exile."" The Times Literary Supplement, no. 4128, 14 May 1982, p. 541. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200161850/TLSH?u=linc74325&sid=gale_api&xid=0521caf8,GALE|EX1200161850,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1982-0514-0021']
Agisymbolic,"['Ulli Beier', 'U. BEIER']",The Times Literary Supplement,"September 8, 1966",3367,816,"['Jahn, Janheinz']","Beier, Ulli, and U. BEIER. ""Agisymbolic."" The Times Literary Supplement, no. 3367, 8 Sept. 1966, p. 816. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200342910/TLSH?u=linc74325&sid=gale_api&xid=4e233b0e,GALE|EX1200342910,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1966-0908-0028']
Cruising through hell,['Godfrey Smith'],The Sunday Times,"October 6, 1974",7895,35,,"Smith, Godfrey. ""Cruising through hell."" Sunday Times, 6 Oct. 1974, p. 35. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1800821524/STHA?u=linc74325&sid=gale_api&xid=a0399292,GALE|FP1800821524,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1974-1006-0035']
A Poet of South Africa,"['Edmund Charles', 'Blunden (AKA)']",The Times Literary Supplement,"May 31, 1947",2365,269,['Poetry'],"Charles, Edmund, and Blunden (AKA). ""A Poet of South Africa."" The Times Literary Supplement, no. 2365, 31 May 1947, p. 269. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200281100/TLSH?u=linc74325&sid=gale_api&xid=a636f63c,GALE|EX1200281100,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1947-0531-0009']
African poems,['Stephen Watson'],The Times Literary Supplement,"February 22, 1991",4586,8,"['Pringle, Thomas']","Watson, Stephen. ""African poems."" The Times Literary Supplement, no. 4586, 22 Feb. 1991, p. 8. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200461917/TLSH?u=linc74325&sid=gale_api&xid=234ae188,GALE|EX1200461917,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1991-0222-0008']
A world reclaimed,['Karin Barber'],The Times Literary Supplement,"November 25, 1988",4469,1307,,"Barber, Karin. ""A world reclaimed."" The Times Literary Supplement, no. 4469, 25 Nov. 1988, p. 1307. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200456534/TLSH?u=linc74325&sid=gale_api&xid=36759f92,GALE|EX1200456534,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1988-1125-0011']
Saturday 6 January,,The Sunday Times,"December 31, 1995",8940,51[S6],,"""Saturday 6 January."" Books. Sunday Times, 31 Dec. 1995, p. 51[S6]. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1801763386/STHA?u=linc74325&sid=gale_api&xid=68bc1206,GALE|FP1801763386,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1995-1231-0179']
Radio,,The Sunday Times,"January 24, 1999",9100,44[S10],,"""Radio."" Culture. Sunday Times, 24 Jan. 1999, p. 44[S10]. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1802605661/STHA?u=linc74325&sid=gale_api&xid=e36ca942,GALE|FP1802605661,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1999-0124-0273']
The Bishop's move,['Landeg White'],The Times Literary Supplement,"June 27, 1997",4917,24,"['Poetry', 'Groom, Nick']","White, Landeg. ""The Bishop's move."" The Times Literary Supplement, no. 4917, 27 June 1997, p. 24. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200487325/TLSH?u=linc74325&sid=gale_api&xid=b3654534,GALE|EX1200487325,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1997-0627-0024']
The Climate of Taste,"['G. S. Fraser', 'G. S. Fraser']",The Times Literary Supplement,"October 2, 1953",2696,628,"['Climate', 'Poets', 'Heath-Stubbs, John Francis Alexander']","Fraser, G. S., and G. S. Fraser. ""The Climate of Taste."" The Times Literary Supplement, no. 2696, 2 Oct. 1953, p. 628. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200299442/TLSH?u=linc74325&sid=gale_api&xid=0473ee5f,GALE|EX1200299442,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1953-1002-0008']
Quiet and disquiet,['Dennis Walder'],The Times Literary Supplement,"May 10, 1985",4284,527,"['Cullinan, Patrick']","Walder, Dennis. ""Quiet and disquiet."" The Times Literary Supplement, no. 4284, 10 May 1985, p. 527. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200447360/TLSH?u=linc74325&sid=gale_api&xid=2846e723,GALE|EX1200447360,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1985-0510-0019']
New Books and Reprints.,,The Times Literary Supplement,"December 27, 1917",832,650,,"""New Books and Reprints."" The Times Literary Supplement, no. 832, 27 Dec. 1917, pp. 650+. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200022163/TLSH?u=linc74325&sid=gale_api&xid=767cfb24,GALE|EX1200022163,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1917-1227-0010', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1917-1227-0011', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1917-1227-0012']"
From Slad to Spain and back,['P. J. Kavanagh'],The Times Literary Supplement,"November 26, 1999",5043,10,,"Kavanagh, P. J. ""From Slad to Spain and back."" The Times Literary Supplement, no. 5043, 26 Nov. 1999, pp. 10+. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200497937/TLSH?u=linc74325&sid=gale_api&xid=4ce4621e,GALE|EX1200497937,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1999-1126-0010', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1999-1126-0011']"
A Plea for Afrikaans,"['H. E. du Plessis', 'du Plessis (AKA)']",The Times Literary Supplement,"November 21, 1936",1816,956,,"Plessis, H. E. du, and du Plessis (AKA). ""A Plea for Afrikaans."" The Times Literary Supplement, no. 1816, 21 Nov. 1936, p. 956. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200255237/TLSH?u=linc74325&sid=gale_api&xid=e633cb6b,GALE|EX1200255237,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1936-1121-0024']
Ironies of exile,['Lewis Nkosi'],The Times Literary Supplement,"April 1, 1994",4748,5,,"Nkosi, Lewis. ""Ironies of exile."" The Times Literary Supplement, no. 4748, 1 Apr. 1994, p. 5. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200473446/TLSH?u=linc74325&sid=gale_api&xid=630a8dab,GALE|EX1200473446,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1994-0401-0005']
Nigerian Traditions,"[""[can't find entry in stock book] (AKA)""]",The Times Literary Supplement,"January 7, 1972",3645,16,"['Clark Bekederemo, J.P.']","[can't find entry in stock book] (AKA). ""Nigerian Traditions."" The Times Literary Supplement, no. 3645, 7 Jan. 1972, p. 16. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200378069/TLSH?u=linc74325&sid=gale_api&xid=b098898b,GALE|EX1200378069,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1972-0107-0016']
MR. FIFIELD'S NEW LIST,,The Times Literary Supplement,"October 16, 1913",614,447,,"""MR. FIFIELD'S NEW LIST."" The Times Literary Supplement, no. 614, 16 Oct. 1913, p. 447. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200186400/TLSH?u=linc74325&sid=gale_api&xid=67929748,GALE|EX1200186400,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1913-1016-0011']
"Europe Looks Outwards, II: Keeping it Dark: ""Negritude"" in a Changing World","['Gerald Holyoake Moore', 'GERALD MOORE']",The Times Literary Supplement,"September 21, 1962",3160,702,['Poets'],"Moore, Gerald Holyoake, and GERALD MOORE. ""Europe Looks Outwards, II: Keeping it Dark: 'Negritude' in a Changing World."" The Times Literary Supplement, no. 3160, 21 Sept. 1962, pp. 702+. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200129437/TLSH?u=linc74325&sid=gale_api&xid=feaefeff,GALE|EX1200129437,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1962-0921-0006', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1962-0921-0007']"
"""Dominion Poets""","['Erroll de Burgh Wilmot', '65 Galway Rd, Parkview, Johannesburg, S. Africa (AKA)']",The Times Literary Supplement,"April 30, 1949",2465,281,['Poets'],"Wilmot, Erroll de Burgh, and 65 Galway Rd, Parkview, Johannesburg, S. Africa (AKA). ""Dominion Poets."" The Times Literary Supplement, no. 2465, 30 Apr. 1949, p. 281. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200285989/TLSH?u=linc74325&sid=gale_api&xid=bc3f4898,GALE|EX1200285989,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1949-0430-0009']
Heaven-sent gleams of victory,"[""D'Angour, Armand""]",The Times Literary Supplement,"July 19, 2013",5755,24,,"D'Angour, Armand. ""Heaven-sent gleams of victory."" The Times Literary Supplement, no. 5755, 19 July 2013, p. 24. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200570082/TLSH?u=linc74325&sid=gale_api&xid=17de8143,GALE|EX1200570082,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2013-0719-0024']
The World of Books,['Desmond MacCARTHY'],The Sunday Times,"April 20, 1930",5584,6,"['Campbell, Roy']","MacCARTHY, Desmond. ""The World of Books."" Sunday Times, 20 Apr. 1930, p. 6. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1800980248/STHA?u=linc74325&sid=gale_api&xid=5e979d1f,GALE|FP1800980248,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1930-0420-0006']
South African Bard,"['Edmund Charles', 'E. BLUNDEN']",The Times Literary Supplement,"June 28, 1957",2887,398,,"Charles, Edmund, and E. BLUNDEN. ""South African Bard."" The Times Literary Supplement, no. 2887, 28 June 1957, p. 398. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200311563/TLSH?u=linc74325&sid=gale_api&xid=c8007562,GALE|EX1200311563,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1957-0628-0010']
Alien Shores,"['P. Rodda', 'P. Rodda']",The Times Literary Supplement,"November 10, 1972",3688,1375,,"Rodda, P., and P. Rodda. ""Alien Shores."" The Times Literary Supplement, no. 3688, 10 Nov. 1972, p. 1375. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200385328/TLSH?u=linc74325&sid=gale_api&xid=afc131e3,GALE|EX1200385328,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1972-1110-0023']
South African Poet,['R. C. K. Ensor'],The Sunday Times,"October 19, 1947",6497,3,['Poets'],"Ensor, R. C. K. ""South African Poet."" Sunday Times, 19 Oct. 1947, p. 3. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1801509844/STHA?u=linc74325&sid=gale_api&xid=5eb9033b,GALE|FP1801509844,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1947-1019-0003']
Poetry from Africa,"['Gerald Holyoake Moore', 'GERALD MOORE']",The Times Literary Supplement,"August 2, 1963",3205,594,"['Indiana University Press', 'Hughes, Langston']","Moore, Gerald Holyoake, and GERALD MOORE. ""Poetry from Africa."" The Times Literary Supplement, no. 3205, 2 Aug. 1963, p. 594. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200329552/TLSH?u=linc74325&sid=gale_api&xid=831e0e1c,GALE|EX1200329552,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1963-0802-0010']
Voices from South Africa,"['Laurence Whistler', 'Laurence Whistler']",The Times Literary Supplement,"July 1, 1949",2474,430,"['Poetry', 'Campbell, Roy']","Whistler, Laurence, and Laurence Whistler. ""Voices from South Africa."" The Times Literary Supplement, no. 2474, 1 July 1949, p. 430. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200081494/TLSH?u=linc74325&sid=gale_api&xid=a470b07a,GALE|EX1200081494,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1949-0701-0010']
A South African Poet,"['Arthur Quiller-Couch', 'A. T. Quiller-Couch']",The Times Literary Supplement,"June 20, 1902",23,178,"['Poets', 'Poetry', 'Pringle, Thomas']","Quiller-Couch, Arthur, and A. T. Quiller-Couch. ""A South African Poet."" The Times Literary Supplement, no. 23, 20 June 1902, p. 178. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200000381/TLSH?u=linc74325&sid=gale_api&xid=bc99d4bc,GALE|EX1200000381,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1902-0620-0002']
A South African Poet,"['Arthur Quiller-Couch', 'A. T. Quiller-Couch']",The Times Literary Supplement,"June 20, 1902",23,178,"['Poets', 'Poetry', 'Pringle, Thomas']","Quiller-Couch, Arthur, and A. T. Quiller-Couch. ""A South African Poet."" The Times Literary Supplement, no. 23, 20 June 1902, p. 178. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200000381/TLSH?u=linc74325&sid=gale_api&xid=bc99d4bc,GALE|EX1200000381,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1902-0620-0002']
A South African Poet,"['Arthur Quiller-Couch', 'A. T. Quiller-Couch']",The Times Literary Supplement,"June 20, 1902",23,178,"['Poets', 'Poetry', 'Pringle, Thomas']","Quiller-Couch, Arthur, and A. T. Quiller-Couch. ""A South African Poet."" The Times Literary Supplement, no. 23, 20 June 1902, p. 178. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200000381/TLSH?u=linc74325&sid=gale_api&xid=bc99d4bc,GALE|EX1200000381,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1902-0620-0002']
Songs from the grasslands,['Gerald Holyoake Moore'],The Times Literary Supplement,"February 21, 1975",3807,204,"[""p'Bitek, Okot""]","Moore, Gerald Holyoake. ""Songs from the grasslands."" The Times Literary Supplement, no. 3807, 21 Feb. 1975, p. 204. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200403999/TLSH?u=linc74325&sid=gale_api&xid=3c2e2047,GALE|EX1200403999,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1975-0221-0024']
Revving up,"['Terry Eagleton', 'Terry Eagleton']",The Times Literary Supplement,"June 21, 1974",3772,667,"['Hope, Christopher']","Eagleton, Terry, and Terry Eagleton. ""Revving up."" The Times Literary Supplement, no. 3772, 21 June 1974, p. 667. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200398469/TLSH?u=linc74325&sid=gale_api&xid=5e094c12,GALE|EX1200398469,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1974-0621-0015']
Black Orpheus,"['W. Thorpe', 'W(?) THORPE [sic] (AKA)']",The Times Literary Supplement,"July 28, 1966",3361,657,"['Cambridge University Press', 'Beier, Ulli']","Thorpe, W., and W(?) THORPE [sic] (AKA). ""Black Orpheus."" The Times Literary Supplement, no. 3361, 28 July 1966, p. 657. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200342485/TLSH?u=linc74325&sid=gale_api&xid=1097b536,GALE|EX1200342485,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1966-0728-0013']
Mr. F. C. Slater,,The Times,"September 4, 1958",54247,12,"['Oxford University Press (Oxford, England)', 'Book publishing']","""Mr. F. C. Slater."" Times, 4 Sept. 1958, p. 12. The Times Digital Archive.",https://link.gale.com/apps/doc/CS203512612/TTDA?u=linc74325&sid=gale_api&xid=92cd2958,GALE|CS203512612,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1958-SEP04-012']
News in Brief,,The Times,"April 25, 1957",53824,8,,"""News in Brief."" Times, 25 Apr. 1957, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS136403097/TTDA?u=linc74325&sid=gale_api&xid=2e767f56,GALE|CS136403097,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1957-APR25-008']
N.P.Vanwyk Louw,,The Times,"June 19, 1970",57896,12,,"""N.P.Vanwyk Louw."" Times, 19 June 1970, p. 12. The Times Digital Archive.",https://link.gale.com/apps/doc/CS204174035/TTDA?u=linc74325&sid=gale_api&xid=f439f392,GALE|CS204174035,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1970-JUN19-012']
