"airtableID","title","Unique ID","Article title","Document type","Article Date (formatted)","[publication]","publisher","Source page no","Source link","Gale ID","Source access date","rights_holder","[archive]","Excerpt","works","[events]","subjects","Tags","Notes","Permissions","[news item roles]","Completion Status","person","contributor.name","creator.name","topics-decade","commentaries_relation","Related Event Omeka ID","Contributor Omeka ID","Publication Internal ID","site section"
"recjC8zhqdPvfr6BG","Annual Literary Prize Of Â£1,000 (1959-01-09)","apdp.news.002289","Annual Literary Prize Of Â£1,000","News Report","1959-01-09","['rec3qJ9cAS12R9eSf']","[""The Times""]","5","https://link.gale.com/apps/doc/CS84630569/TTDA?u=linc74325&sid=gale_api&xid=997cfdce","GALE|CS84630569","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","This announcement says of the establishment of a prestigious literary award aimed at recognizing outstanding contributions to English literature. The prize, valued at £1,000, is intended to encourage writers across various genres, highlighting the importance of literary excellence in the post-war era. It outlines the criteria for eligibility and the selection process, emphasizing the award's commitment to celebrating both established and emerging voices. It also discusses the potential impact of the prize on the literary community, fostering innovation and creativity among authors. The announcement signals a growing recognition of the significance of literature in society and the need to support writers in their artistic endeavors. The prize aims to inspire new works and elevate the profile of literature in public consciousness.","","","","[""prize""]","","© Times Newspapers Limited.","['recG6jnihShYS9yoM']","Publish","""[Plomer, William](apdp.person.itn.000132)|Mentioned Poet""","[""Plomer, William""]","","1950","","","","[""apdp.publication.000005""]",""
"recl6AL3mIUhV35UI","Anthology of poets gathers, we know it; to commend inverse many readings diverse (2012-04-18)","apdp.news.002303","Anthology of poets gathers, we know it; to commend inverse many readings diverse","News Report","2012-04-18","['rec3qJ9cAS12R9eSf']","[""The Times""]","7","https://link.gale.com/apps/doc/IF0504328063/TTDA?u=linc74325&sid=gale_api&xid=347469eb","GALE|IF0504328063","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article highlights a newly released anthology, Poetry Panassus, that celebrates a wide range of poetic voices and styles. It explores the anthology's mission to showcase diverse perspectives and themes within contemporary poetry, emphasizing the importance of varied readings in enriching the literary landscape. The piece reviews several contributors, noting how their works reflect different cultural backgrounds and experiences, thus creating a vibrant tapestry of modern poetry. The article also discusses the anthology's structure and the selection process, underscoring the editorial team's commitment to inclusivity and representation. By bringing together these varied voices, the anthology aims to foster a greater appreciation for poetry's transformative power and its ability to connect readers across different contexts and backgrounds.","","['rec2dPNBleGME96s8']","""[The South Bank Show](apdp.event.000012)""","[""anthology""]","","© Times Newspapers Limited.","['recSjugKAo0w2737z', 'recrYdanm4GfK61j2']","Publish","""[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Mentioned Poet;;;[Armitage, Simon]()|Mentioned Poet""","[""Soyinka , Wole 'Akinwande Oluwole Babatunde'""]","","2010","""[Wole Soyinka in The Times Advertisements and Announcements between 1965 and 1983](apdp.commentary.000003)""","","","[""apdp.publication.000005""]",""
"recpMmy3LjWdzkoT1","Antonio Jacinto (1991-07-05)","apdp.news.002135","Antonio Jacinto","Obituary","1991-07-05","['rec3qJ9cAS12R9eSf']","[""The Times""]","20","https://link.gale.com/apps/doc/IF0501862186/TTDA?u=linc74325&sid=gale_api&xid=f5a8ceba","GALE|IF0501862186","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article focuses on the life and work of the prominent Angolan poet and writer Antonio Jacinto. It highlights Jacinto's significant contributions to literature and his role in the cultural and political landscape of Angola, particularly during its struggle for independence. The article discusses his poetry, characterized by themes of nationalism, identity, and social justice, reflecting the experiences of his people. It also notes Jacinto's involvement in the anti-colonial movement and how his literary work served as both a form of resistance and a means of promoting cultural pride. The piece emphasizes the importance of Jacinto's legacy in contemporary African literature and the continued relevance of his messages in today's sociopolitical context. ","","","","[""arrest"", ""death"", ""imprisonment"", ""african literature""]","","© Times Newspapers Limited.","['rec2qU0rY79SGRaQt']","Publish","""[Jacinto, António 'Orlando Tavora'](apdp.person.itn.000400)|Mentioned Poet""","[""Jacinto, António 'Orlando Tavora'""]","","1990","","","","[""apdp.publication.000005""]",""
"recEURbB5Zylh4s3y","Artistic freedom in China (2013-05-03)","apdp.news.002369","Artistic freedom in China","Editorial Letter","2013-05-03","['rechlrrQ3ggxkp9tc']","[""The Times Literary Supplement""]","6","https://link.gale.com/apps/doc/EX1200569198/TLSH?u=linc74325&sid=gale_api&xid=175992f4","GALE|EX1200569198","2024-10-14","[""The Times Literary Supplement Historical Archive""]","['recPtoWyYeZuupAcO']","In this collective letter, writers and artists from different countries speak up in defense imprisoned writers and censored voices in China. ","","","","[""letter"", ""letter to editor"", ""censorship""]","","© Times Newspapers Limited.","['recaz9KMdVXV5PSRN']","Publish","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Mentioned Poet;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Article Author""","[""Coetzee, John Maxwell ' -J. M. '""]","[""Coetzee, John Maxwell ' -J. M. '""]","2010","","","","[""apdp.publication.000001""]",""
"recb3lmdWdKhfptlX","Awaking dreams as others sleep (1991-12-21)","apdp.news.002234","Awaking dreams as others sleep","Critical Article","1991-12-21","['rec3qJ9cAS12R9eSf']","[""The Times""]","39[S1]","https://link.gale.com/apps/doc/IF0501910504/TTDA?u=linc74325&sid=gale_api&xid=43915aed","GALE|IF0501910504","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article explores the theme of dreams and consciousness through a poetic lens. It reflects on the nature of dreams as a source of inspiration and insight, contrasting the experiences of those who engage with their dreams against the backdrop of a waking world. It delves into the emotional and psychological aspects of dreaming, emphasizing how these nocturnal journeys can reveal deeper truths about the self and the human experience. The piece includes reflections on notable poets and writers who have captured the essence of dreams in their works, illustrating how dreams can serve as a bridge between reality and imagination. ","""[An African Elegy (1992)](apdp.work.000860)""","","","[""african literature""]","","© Times Newspapers Limited.","['recWB9v7Yz5JQM0Oq', 'recXtr0N2tQLuOBEZ']","Publish","""[Okigbo, Christopher](apdp.person.itn.001150)|Mentioned Poet;;;[Okri, Ben](apdp.person.itn.000331)|Mentioned Poet""","[""Okigbo, Christopher"", ""Okri, Ben""]","","1990","""[Christopher Okigbo in Three British Newspaper Reports Between 1966 and 1993](apdp.commentary.000007)""","","","[""apdp.publication.000005""]",""
"recXMwev6xIHg11Dm","Awkward Guest (1964-09-24)","apdp.news.002326","Awkward Guest","Feature","1964-09-24","['rechlrrQ3ggxkp9tc']","[""The Times Literary Supplement""]","874","https://link.gale.com/apps/doc/EX1200334511/TLSH?u=linc74325&sid=gale_api&xid=80747a79","GALE|EX1200334511","2024-10-14","[""The Times Literary Supplement Historical Archive""]","['recPtoWyYeZuupAcO']","This article offers a mixed review of J.P. Clark's book, America, Their America. While it looks positively at Clark's views on America, it criticizes the final destination of the book. ","""[America, Their America (1964)](apdp.work.000190)""","","","[""review"", ""program"", ""America""]","","© Times Newspapers Limited.","['recvp9tEOurd07ATS']","Publish","""[Clark, John Pepper 'J. P.'](apdp.person.itn.000828)|Mentioned Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.itn.000828)|Article Author""","[""Clark, John Pepper 'J. P.'""]","[""Clark, John Pepper 'J. P.'""]","1960","","","","[""apdp.publication.000001""]",""
"recMNlVqg6J2Zw5LL","BBC 1 (1991-04-03)","apdp.news.002309","BBC 1","Radio Schedule","1991-04-03","['rec3qJ9cAS12R9eSf']","[""The Times""]","^","https://link.gale.com/apps/doc/IF0501849850/TTDA?u=linc74325&sid=gale_api&xid=b3e2cae1","GALE|IF0501849850","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article discusses the evolving landscape of television programming on the BBC, particularly focusing on its flagship channel, BBC 1. It announces key developments in content, including new series, documentaries, and cultural programs that aim to cater to diverse audience interests. The piece emphasizes the BBC's commitment to quality programming while also exploring the challenges it faces in an increasingly competitive broadcasting environment. Aidoo, Ama Ata is scheduled for a programe.","","","","[""announcement""]","","© Times Newspapers Limited.","['recpqTTi9nB3nMIQ9']","Publish","""[Aidoo, Ama Ata 'Christina'](apdp.person.itn.000708)|Poet""","[""Aidoo, Ama Ata 'Christina'""]","","1990","""[Ama Ata Aidoo in The Times between 1967 and 1997 ](apdp.commentary.000008);;;[A Commentary on the Representation of Ama Ata Aidoo’s Poetic Career within The Sunday Times, The Times Literary Supplement, and Financial Times](apdp.commentary.000009)""","","","[""apdp.publication.000005""]",""
"recpdX0vDu1lHX0I9","BBC awards snub the champions of popular jazz (2004-07-10)","apdp.news.002283","BBC awards snub the champions of popular jazz","News Report","2004-07-10","['rec3qJ9cAS12R9eSf']","[""The Times""]","6","https://link.gale.com/apps/doc/IF0502880875/TTDA?u=linc74325&sid=gale_api&xid=c6d2793d","GALE|IF0502880875","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article discusses the controversy surrounding the BBC's decision to overlook prominent jazz musicians Jamie Callum and Norah Jones  in its annual awards. It highlights the achievements of various jazz artists and bands, emphasizing their contributions to the genre and the broader music landscape. The piece critiques the awards' selection process, suggesting that it fails to recognize the popularity and influence of these musicians, which has sparked disappointment among fans and artists alike. The article also mentions other nominees for the award which included Ben Okri's poetry album, Let Freedom Ring. ","","['recXJKpCZXbg7QDDI']","""[BBC Arts and Africa Poetry Award](apdp.event.000073)""","[""award"", ""african literature"", ""nigeria""]","","© Times Newspapers Limited.","['reczuRXnkLbHRim0O']","Publish","""[Okri, Ben](apdp.person.itn.000331)|Mentioned Poet""","[""Okri, Ben""]","","2000","","","","[""apdp.publication.000005""]",""
"recWHEgP6kF3fAKrv","Between France And Africa (1959-08-13)","apdp.news.002210","Between France And Africa","Critical Article","1959-08-13","['rec3qJ9cAS12R9eSf']","[""The Times""]","9","https://link.gale.com/apps/doc/CS152919309/TTDA?u=linc74325&sid=gale_api&xid=c480c252","GALE|CS152919309","2024-10-15","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article explores the complex cultural and political relationships between France and various African nations during a time of significant change with interest on Senghor, Léopold Sédar. The piece examines the impact of colonialism and the evolving identity of African countries as they navigate their independence movements. The correspondent highlights the cultural exchanges that have emerged from this relationship, particularly in the realms of art, literature, and music. The article also discusses the tensions that exist as African nations seek to assert their independence while maintaining ties to France. By providing insights into the perspectives of both French and African voices, the article sheds light on the intricate dynamics at play and the potential for future collaboration. ","","['recQXG7bqCCIHX5A5']","""[Election of Léopold Sédar Senghor, September 1960](apdp.event.000022)""","","","© Times Newspapers Limited.","['recKApwidvgp877WA']","Publish","""[Senghor, Léopold Sédar](apdp.person.itn.001141)|Mentioned Poet""","[""Senghor, Léopold Sédar""]","","1950","","","","[""apdp.publication.000005""]",""
"recgFCgamQbkGcaLA","Between the covers of the Booker Prize (1992-10-13)","apdp.news.002133","Between the covers of the Booker Prize","Critical Article","1992-10-13","['rec3qJ9cAS12R9eSf']","[""The Times""]","14","https://link.gale.com/apps/doc/IF0500584150/TTDA?u=linc74325&sid=gale_api&xid=c3033f5f","GALE|IF0500584150","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article delves into the significance of the Booker Prize in the literary world and its impact on authors and their works. It examines the history of the award, its selection process, and the notable novels that have received recognition. The piece highlights the prize's role in promoting literary excellence and bringing attention to both established and emerging writers. Additionally, it discusses the diverse themes and styles represented in the shortlisted books, showcasing how the award reflects contemporary societal issues and the evolving landscape of literature. The article also touches on the influence of the Booker Prize on publishing trends and reader preferences, illustrating its lasting legacy in the promotion of quality fiction. ","","","","[""prize""]","","© Times Newspapers Limited.","['rec28m0gNcFgfU7dd']","Publish","""[Okri, Ben](apdp.person.itn.000331)|""","[""Okri, Ben""]","","1990","","","","[""apdp.publication.000005""]",""
"reczPiNZpYulCjBNg","Beyond war (2008-09-05)","apdp.news.002370","Beyond war","Book Review","2008-09-05","['rechlrrQ3ggxkp9tc']","[""The Times Literary Supplement""]","23","https://link.gale.com/apps/doc/EX1200550939/TLSH?u=linc74325&sid=gale_api&xid=ce45b9f6","GALE|EX1200550939","2024-10-14","[""The Times Literary Supplement Historical Archive""]","['recPtoWyYeZuupAcO']","This article reviews Andrew Van der Vlies 'South African Textual Cultures' within the context of the broader South African literary scene. ","","","","[""south african issues"", ""book review"", ""apartheid""]","","© Times Newspapers Limited.","['recR3LNkWqw5ZGte1']","Publish","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Mentioned Poet;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Article Author""","[""Coetzee, John Maxwell ' -J. M. '""]","[""Coetzee, John Maxwell ' -J. M. '""]","2000","","","","[""apdp.publication.000001""]",""
"rec982f3GAEwcgdof","Birago Diop (1989-11-27)","apdp.news.002127","Birago Diop","Obituary","1989-11-27","['rec3qJ9cAS12R9eSf']","[""The Times""]","20","https://link.gale.com/apps/doc/IF0501787497/TTDA?u=linc74325&sid=gale_api&xid=37b06a31","GALE|IF0501787497","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article pays tribute to the renowned Senegalese poet and storyteller, Birago Diop. It explores Diop's significant contributions to African literature, particularly his role in revitalizing traditional oral storytelling through his poetry. The piece highlights his themes of cultural heritage, identity, and the interconnectedness of life and death, reflecting the rich spiritual and cultural tapestry of African society. Diop's work is characterized by its lyrical quality and deep resonance with African folklore, making him a prominent figure in the literary world. The article also discusses Diop's influence on contemporary African writers and his commitment to promoting the African voice in literature. Through his innovative blending of oral tradition with written form, Diop's legacy continues to inspire generations of poets and storytellers, solidifying his place in the pantheon of African literary greats.","","","","[""death"", ""negritude"", ""african literature""]","","© Times Newspapers Limited.","['recpjMKcG4PxmZVpG']","Publish","""[Diop, Birago](apdp.person.itn.000186)|Mentioned Poet""","[""Diop, Birago""]","","1980","","","","[""apdp.publication.000005""]",""
"recFxkQIw5PxnRVVV","Booker author says dome must connect 'all our faiths' (1998-01-07)","apdp.news.002199","Booker author says dome must connect 'all our faiths'","Critical Article","1998-01-07","['rec3qJ9cAS12R9eSf']","[""The Times""]","2","https://link.gale.com/apps/doc/IF0500869457/TTDA?u=linc74325&sid=gale_api&xid=d72e1d28","GALE|IF0500869457","2024-10-14","[""The Times Digital Archive""]","['recIReHwRKnt2RoPo']","The article discusses remarks made by a Booker Prize-winning author, Ben Okri, regarding the importance of interfaith dialogue and understanding. The author emphasizes that the newly proposed dome, intended to be a space for unity, should serve as a symbol of connection among various religious communities. He does this by writing a poem ""Ode to Dome"" published by Times. The piece highlights the need for increased cooperation and mutual respect among different faiths, particularly in the context of a rapidly changing global landscape. By advocating for a shared understanding of spirituality and humanity, the author believes in the potential of literature and art to bridge divides and foster dialogue. The article also reflects on how narratives can play a crucial role in addressing contemporary societal challenges, encouraging readers to reflect on their beliefs and the connections that bind us all.","","","","[""prize""]","","© Times Newspapers Limited.","['recT8iRbOHIGb8AHi']","Publish","""[Okri, Ben](apdp.person.itn.000331)|Mentioned Poet""","[""Okri, Ben""]","","1990","","","","[""apdp.publication.000005""]",""
