"airtableID","Unique-ID","Name last","Name given","Name alt","Name markdown","Featured","Ethnicity","Country of Nationality","Country","Region","Gender","birth-year","birth-decade","birth-place","birth_spatial.city","birth_spatial.country","death-year","death-place","Education","Selected Works Title","Poems","Poetry Collections","Speeches-Lectures-Interviews-Performances-Critical Media","Selected Works Years Published","Publisher Name","Publisher Location (City and Country","Languages spoken","Publisher Type","Authority","Bio","Bio Creator","Notes","Bio Sources (MLA)","Contact","Status","In the News?"
"recwyXDnWxhW8oPUQ","apdp.cap.000011","Aidoo","Ama Ata","Christina","[Aidoo, Ama Ata 'Christina'](apdp.cap.000011)","True","","","Ghana","Western Africa","F","1942","1940","Abeadzi Kyiakor, Ghana","""Abeadzi Kyiakor""","""Ghana""","","N/A","Wesley Girls Highschool, University of Ghana (BA, 1964)","
","","Someone Talking to Sometime (Harare: College Press, 1986);
Birds and Other Poems (Harare: College Press, 1987);
An Angry Letter in January and Other Poems (Dangaroo Press, 1992);
After the Ceremonies: New and Selected Poems (University of Nebraska Press, 2017)
","","","['Longman', 'Heinemann', 'Dangaroo Press', 'Ayebia Clark Publishing', 'University of Nebraska Press']","UK, US, ","","","https://viaf.org/viaf/2496581/","Ama Ata Aidoo was born in 1942 in Abeadzi Kyiakor, Ghana. A poet, novelist and playwright, Aidoo attended the Wesley Girls High School and the University of Ghana where she received her bachelor's degree  in 1964. As an undergraduate student, she was invited to the University of Ibidan’s African Writers Workshop, where she met and was influenced by the writers Langston Hughes, Chinua Achebe, Ezekiel Mphahlele, Wole Sokinka, and Christopher Okigbo. Her play The Dilemma of a Ghost was published in 1965 to critical acclaim. She is the author of several novels, plays and collections of poetry including, No Sweetness Here (Longman, 1970), Anowa (Longman, 1970), Our Sister Killjoy, Or, Reflections from a Black-Eyed Squint (Longman, 1977), Birds and Other Stories (1987), Changes (Heinemann, 1991), An Angry Letter in January and Other Poems (Dangaroo Press, 1992), The Girl Who Can and Other Stories (1997), Diplomatic Pounds and Other Stories (Ayebia Clark Publishing, 2012), and After the Ceremonies: New and Selected Poems (University of Nebraska Press, 2017). In 1974 she became a fellow in Creative Writing at Stanford University where she also worked as a consulting professor at the Phelps-Stokes fund’s  Ethnic Studies Program. She has taught at many colleges including the University of Ghana, Cape Coast University, Hamilton College, Brown, Xavier University, Mount Holyoke, Smith, Oberlin, Hamilton, and Brandeis. She was also the minister of education for Ghana under the Jerry Rawlings administration.
Selected Works
Poems

    On Reading Jackie Kay
    For a Zulu in the Bayous
    Of Gifts and References

Poetry Collections

    Someone Talking to Sometime. The College Press, 1985.
    An Angry Letter in January and Other Poems. Dangaroo Press, 1992.
    Birds and Other Poems. The Feminist Press at CUNY, 1993.
    After the Ceremonies: New and Selected Poems. University of Nebraska Press, 2017.

Speeches, Lectures, Interviews, Performances / Critical Articles, Media:

    Adams, Anne V. (ed.). Essays in Honour of Ama Ata Aidoo at 70: A Reader in African Cultural Studies. Ayebia Clarke Publishing, 2012.
    Allen, Nafeesh. ""Negotiating with the Diaspora: an Interview with Ama Ata Aidoo,"" Scholar & Feminist Online, 2009.
    ""Ama Ata Aidoo in discussion about her play The Dilemma of a Ghost, interviewed by Michael Walling, July, 19, 2006, Accra, Ghana."" https://www.youtube.com/watch?v=VuxPvJqQp0I
    ""Ama Ata Aidoo on feminism in Africa—BBC HARDtalk."" BBC HARDtalk, July, 22, 2014. https://www.youtube.com/watch?v=W_gJwy9yjrk
    ""Ama Ata Aidoo’s humorous speech at launch of Centre for Creative Writing."" GhanaWeb TV, March 16, 2017. https://www.youtube.com/watch?v=9O-rtdihYCU
    ""An Audience with Ama Ata Aidoo at the Royal African Society’s annual literature festival.” Ama Ata Aidoo in conversation with Wangui wa Goro, The Royal African Society, July 14, 2014. https://www.youtube.com/watch?v=Fy_xo4cVpFY
    Azodo, Ada Uzoamaka and G. Wilentz, Emerging Perspectives on Ama Ata Aidoo, Africa Research & Publications, 1999.
    Badoe, Yaba (dir.). The Art of Ama Ata Aidoo (2014), film.
    Kamata, Suzanne. “A Profile of Ama Ata Aidoo.” Literary Mama, Feb. 2016.
    Misra, Aditya. ""Death in Surprise: Gender and Power Dynamics in Ama Ata Aidoo's Anowa."" Journal of Drama Studies, Vol. 6, No. 1, 2012, pp. 81–91.
    Odamtten, Vincent O. The Art of Ama Ata Aidoo: Polylectics and Reading Against Neocolonialism. University Press of Florida, 1994.
    Pujolràs-Noguer, Esther. An African (Auto)biography. Ama Ata Aidoo's Literary Quest: Strangeness, nation and tradition, Lap Lambert Academic Publishing, 2012.

Biography:

Ama Ata Aidoo is one of the best-known African writers today. Her work addresses themes of colonialism, independence, motherhood, and gender in intimate, personal ways alongside commentary on broader social issues. Although Aidoo is best known for her novels Changes: A Love Story and Our Sister Killjoy, which are widely read in women’s literature courses, and her plays The Dilemma of a Ghost and Anowa, which are read and performed all over the world, her prowess as a poet shines as well.

Ama Ata Aidoo was born in Abeadzi Kyiakor, in south central Ghana in 1942. She studied literature at the University of Ghana, won a fellowship to Stanford University, and subsequently accepted visiting professorships in the United States and Africa. Her poetry collections include Birds and Other Poems, Someone Talking to Sometime, and An Angry Letter in January and Other Poems.

(edited from University of Nebraska Press)","","","http://writersprojectghana.com/ama_ata_aidoo/, https://www.britannica.com/biography/Ama-Ata-Aidoo, Owomoyela, Oyekan. The Columbia Guide to West African Literature in English Since 1945, Columbia University Press, 2008.","","There are two bios here, the first one is a more extensive one I wrote and the second a shorter one from the University of Nebraska Press",""
"rect0Lub0FepjRkkv","apdp.cap.000012","al-Isha","Faraj Bou","","[al-Isha, Faraj Bou](apdp.cap.000012)","","","","Libya","Northern Africa","","1956","1950","Libya","","""Libya""","","N/A","","","","","","","","","","","","Faraj Bou al-Isha was born in Libya in 1952. A poet, teacher and journalist, he is the author of three poetry collections. He currently lives in Germany.","","Found (?) in Banipal","https://www.banipal.co.uk/contributors/288/faraj-bou-al-isha/","","Need to speak with Prof Dawes to get more information",""
"rect4GKhbKuqF8wi5","apdp.cap.000013","Alembong","Nol","","[Alembong, Nol](apdp.cap.000013)","","","","Cameroon","Middle Africa","M","","","","","","","","","
","","Forest Echoes (MiraClaire Publishing 2012), Passing Winds (MiraClaire Publishing, 2013), and Green Call (Notion Press, 2017)
","","","['MiraClaire', 'Notion Press']","","English","","https://viaf.org/viaf/38941956","Nol Alembong is a scholar, poet, and prose writer from Cameroon. He is the author of three collections of poetry: Forest Echos (MiraClaire Publishing 2012), Passing Winds (2013, MiraClaire Publishing), and Green Call (2017, Notion Press). He also published the short story “Here, Where We Live” in Calalloo in 1980. He has taught as a Professor of African literature at the University of Yaounde I in Cameroon, and currently, serves as the Dean of the Faculty of Arts at the University of Buea, Cameroon.","","","https://www.africanbookscollective.com/authors-editors/nol-alembong, http://worldcat.org/identities/lccn-no92009285/, Alembong, Nol. “Here, Where We Live.” Callaloo, no. 8/10, Johns Hopkins University Press, 1980, pp. 125–33, https://doi.org/10.2307/3043940.
","","Need more info like birth date, talk to Prof's to see if we can get a contact",""
"recjkpZlT5hf90CQJ","apdp.cap.000014","Ali","Sahro","","[Ali, Sahro](apdp.cap.000014)","","","","Somalia","Eastern Africa","F","","","","","","","","","","","","","","","","","","","Sahro Ali is a Somali Australian writer who was shortlisted for the Brunel International African Poetry Prize. She is the managing editor of Kerosene Magazine.","","Need more information and a contact","https://geosireads.wordpress.com/2017/04/26/interview-with-2017-brunel-international-african-poetry-prize-shortlisted-poet-sahro-ali/ . https://brittlepaper.com/2017/07/crude-language-coming-interview-sahro-ali-2017-brunel-prize-shortlistee-africa-dialogue/","","",""
"recNqInP3WNWI8sko","apdp.cap.000015","Allo","Viola","","[Allo, Viola](apdp.cap.000015)","","","","Cameroon","Middle Africa","F","","","","","","",""," University of California Davis (BA, Psychology), University of Michigan Ann Arbor (MA, Anthropology) American River College (Creative Writing)","
","","Bird From Africa (Akashic books, 2015)
","","","['Akhasic Books']","Akhasic Books (Brooklyn)","English","","https://viaf.org/viaf/316802279/","Viola Aloo is a poet born and raised in Cameroon, who now lives in the United States. (need birth date) She is the author of the poetry collection Bird From Africa (2015, Akashic books). Aloo was shortlisted in 2013 and 2014 for the Brunel University African Poetry Prize. She received her bachelors in psychology from the University of California Davis and a Masters degree in Anthropology for the University of Michigan Ann Arbor. She studies creative writing at American River College (get years for degrees).","","Would like to contact for more information... ask Prof","
https://letterstocameroon.wordpress.com/, https://winningwriters.com/people/viola-allo,https://globalpoetics.org/poets/viola-allo//
","","",""
"recBOBbE21g5EgN5p","apdp.cap.000016","Amadiume","Ifi","","[Amadiume, Ifi](apdp.cap.000016)","","Igbo","","Nigeria","Western Africa","F","1947","1940","Kaduna, Nigeria","""Kaduna""","""Nigeria""","","","University of London (BA, 1978, PhD, 1983)","
","","Passion Waves (London: Karnak House, 1985); Ecstasy (Longman Nigeria, 1995); Passion Circles of Love (Africa World Press, 2006);  Voices Draped in Black (Africa World Press 2007); Male Daughters, Female Husbands: Gender and Sex in an African Society (1987); Reinventing Africa: Matriarchy, Religion and Culture (1997, Zed Books)
","","","['Zed Books', 'London Karnac House', 'Longman Nigeria']","","","","https://viaf.org/viaf/167668/","Ifi Amadiume was Born in 1947 in Kaduna, Nigeria. A scholar, anthropologist and poet, Amadiume is the author of several collections of poetry including Passion Waves (London: Karnak House, 1985), Ecstasy (Longman Nigeria, 1995), Passion Circles of Love (Africa World Press, 2006) and Voices Draped in Black (Africa World Press 2007).  She is also the author of several books of scholarship including Male Daughters, Female Husbands: Gender and Sex in an African Society (1987) and Reinventing Africa: Matriarchy, Religion and Culture (1997, Zed Books). She studied at the University of London earning her BA in 1978 and her Phd in 1984. She was a professor of religion at Dartmouth College.","","","https://en.wikipedia.org/wiki/Ifi_Amadiume , http://radicalanthropologygroup.org/index.php/about/people/ifi-amadiume , https://www.goodreads.com/author/show/35137.Ifi_Amadiume","","Want to see where she currently works... ask Lorna",""
"rec9Bhdrs1CuLTqG5","apdp.cap.000017","Amukoshi","Julia Shalongo-Shandje Ndinelago","","[Amukoshi, Julia Shalongo-Shandje Ndinelago](apdp.cap.000017)","","","","Namibia","Southern Africa","F","","","","","","","","University of Namibia","","","","","","","","","","https://viaf.org/viaf/121147118202826341010/","","","","https://wiki.projecttopics.org/8403-julia-shalongo-shandje-ndinelago-amukoshi/index.html , https://allafrica.com/stories/201408201472.html , https://neweralive.na/posts/popya-with-julia-shalongo-shandje-ndinelago-amukoshi","","Want to see if there is a way we can contact her to confirm some of the information in these sources and get a birth date",""
"recnMQpqFw9Guqf1v","apdp.cap.000018","Angira","Jared","","[Angira, Jared](apdp.cap.000018)","","","","Kenya","Eastern Africa","M","1947","1940","Siaya, Kenya","""Siaya""","""Kenya""","","N/A","University of Nairobi (Commerce, 1971)","
","","Juices (East African Publ. House, Nairobi, 1970); Silent Voices (Heinemann Publishers, Oxford, 1972); Cascades (Longman, London, 1976); The Years Go By (Bookwise, Nairobi, 1980); Soft Corals (East African Publisher House, Nairobi, 1973); Tides of Time: selected poems. (East African Educational Publishers, Nairobi, 1996); Lament of the Silent and Other Poems (East African Educational Publishers, Nairobi, 2004)
","","","['East African Education Publishing House', 'Heinemann Publishers', 'Longman']","Nairobi, Kenya; London, United Kingdon","Swahili, English","","https://viaf.org/viaf/56736580/","Jared Angira was born in 1947 in Siaya, Kenya. Critically praised and recognized as a Marxist poet, Angira is the author of poetry collections such as Juices (1970), Silent Voices (1972), Cascades (1976), The Years Go By (1980), Soft Corals (1973). Tides of Time: Selected Poems (1996), and Lament of the Silent and Other Poems (2004). Angira attended the University of Nairobi, where he studied Commerce between 1968-1971. Aside being a poet, he also worked in the Kenyan Civil Service. He once said that Karl Marx is his teacher, while Pablo Neruda is his class prefect (in class) and his captain (on the battlefield).","Rasaq Malik","Assigned to Rasaq","“No Coffin, No Grave--Jared Angira.” African Soulja, https://afrilingual.wordpress.com/2011/04/13/no-coffin-no-grave-jared-angira/. Accessed 14 March 2022. Yesufu R., Abdul. “Jared Angira and East African poetry of social testimony.” World Literature Written in English. Volume 23, 1984. Accessed 14 March 2022. “Angira, Jared.” Wikipedia, https://en.wikipedia.org/wiki/Jared_Angira. Accessed 13 March 2022.","","",""
"reczg6lVnJyFqBEtb","apdp.cap.000019","Animashon","Abonyi","","[Animashon, Abonyi](apdp.cap.000019)","","","","Nigeria","Western Africa","M","","","","","","","","","","","","","","","","","","","","","Could not find info - follow up with Prof","https://www.stonedog.info/crew/ishmael-fiifi-annobil , https://ishmaelannobil.com/,","","",""
"recZjiV0nnFO03JJ4","apdp.cap.000020","Annobil","Ishmael Fifi","","[Annobil, Ishmael Fifi](apdp.cap.000020)","","","","Ghana","Western Africa","M","1958","1950","Accra, Ghana","""Accra""","""Ghana""","","","Goldsmith College","
","","Seven Horn Elegy (Totem, 1998) and Ethiop (Totem)
","","","['Totem']","","English","","https://viaf.org/viaf/29030364/","Ishmael Fiifi Annobil was born in Accra, Ghana in 1958. A musician, journalist, filmmaker, poet, and critic, he is the author of Seven Horn Elegy (Totem, 1998) and Ethiop (Totem); his work has been anthologized in Another English: Anglophone Poems from Around the World. He is also the founder of the Welsh poetry festival Iolo’s Children, and the founding editor of the literary magazine Chiaroscuro. Currently, Annobil lives in London.","","""Fiifi"" with 2 i's","https://www.chiaroscuromagazine.com/about-us","","",""
"recF0SmYoU5fgepq0","apdp.cap.000021","Anyidoho","Kofi","born George Kofi Nyidevu Awoonor-Williams","[Anyidoho, Kofi 'born George Kofi Nyidevu Awoonor-Williams'](apdp.cap.000021)","","Ewe","","Ghana","Western Africa","M","1947","1940","Wheta, Ghana","""Wheta""","""Ghana""","","N/A","University of Ghana, Legon (B.A. Honours degree in English & Linguistics,1977); Indiana University, Bloomington (M.A. in Folklore, 1980),;University of Texas, Austin (PhD in Comparative Literature,1983).","
","","Elegy for the Revolution (Greenfield Center, N.Y.: Greenfield Review Press,1978); A Harvest of Our Dreams (London: Heinemann, 1985); Earthchild, with Brain Surgery (Accra: Woeli Publishing, 1985), AncestralLogic and CaribbeanBlues (Africa World Press, Trenton, NJ, 1992), Praise Song for the Land: Poems of Hope & Love & Care (2002), The Place We Call Home and Other Poems (Oxfordshire, England: Ayebia Clarke Publishing, 2011).
","","","['Greenfield Review Press', 'Woeli Publishing', 'Africa World Press', 'Ayebia Clarke Publishing']","Greenfield Center, New York; Accra, Ghana; Trenton, NJ; Oxfordshire, England","Ewe, English","","https://viaf.org/viaf/79047971/","Anyidoho Kofi was born in 1947 in Wheta, Ghana. A Professor of Literature at the University of Ghana, Anyidoho is the author of Elegy for the Revolution (1978), A Harvest of Our Dreams (1985), Earthchild, with Brain Surgery (1985), AncestralLogic and CaribbeanBlues (1992), Praise Song for the Land: Poems of Hope & Love & Care (2002), The Place We Call Home and Other Poems (2011). Anyidoho attended the University of Ghana, Legon; Indiana University, Bloomington, and University of Texas, Austin. An award winning poet, some of his prizes include the Langston Hughes Prize, the Davidson Nichol Prize Valco Fund Literary Award, the Fania Kruger Fellowship for Poetry of Social Vision, and BBC Arts and Africa Poetry Award.","Malik Rasaq","Assigned to Rasaq","“Anyidoho, Kofi.” Prabook, https://prabook.com/web/kofi.anyidoho/3750218. Accessed 17 March 2022. “Anyidoho, Kofi.” Wikipedia, https://en.wikipedia.org/wiki/Kofi_Anyidoho. Accessed 17 March 2022/ “Anyidoho, Kofi.” Books Africana, https://www.booksafricana.com/book-author/kofi-anyidoho/. Accessed 17 March 2022.","","",""
"rec0sImjKYhGfg8mV","apdp.cap.000022","Ashuntantang","Joyce","","[Ashuntantang, Joyce](apdp.cap.000022)","","","","Cameroon","Middle Africa","F","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/41652318/","","","","","","",""
"recsZPmkmC2zay3Ft","apdp.cap.000023","Ávila Laurel","Juan Tomás  ","","[Ávila Laurel, Juan Tomás  ](apdp.cap.000023)","","Equatorial Guinean","","Equatorial Guinea, Democratic Republic Of Congo","Middle Africa","M","1966","1960","Annobón Island","""Annob\u00f3n Island""","""Equatorial Guinea""","","N/A","","
","","Poemas (Ediciones del Centro Cultural Hispano-Guineano, 1994); Los hombres domésticos (Ediciones CCHG, 1994);  Rusia se va a Asamse (Ediciones CCHG, 1998); La carga (Editorial Palmart, 1999); Historia íntima de la humanidad (Ediciones Pángola, Malabo, 1999); El derecho de pernada (Editorial Pángola, Malabo, 2000); Áwala cu sangui (Editorial Pángola, Malabo, 2000); El desmayo de Judas (Ediciones CCHG, 2001); Nadie tiene buena fama en este país (Editorial Malamba, Avila, España, 2002); Misceláneas guineoecuatorianas (2002);  El fracaso de las sombras (2004);  Cómo convertir este país en un paraíso: otras reflexiones sobre Guinea Ecuatorial (2005); Guinea ecuatorial: vísceras (Institucio Alfons el Magnanim, 2006); Cuentos crudos (Centro Cultural Español de Malabo, 2007);  Avión de ricos, ladrón de cerdos (El Cobre, 2008);  Arde el monte de noche (Calambur Editorial, 2009); Cuando a Guinea se iba por (Ediciones Carena, Barcelona, 2019)
","","","['Ediciones del Centro Cultural Hispano-Guineano', 'Editorial Palmart', 'Ediciones Pangola', 'Editorial Malamba', 'Institucio Alfons el Magnanim', 'Centro Cultural Español de Malabo', 'El Cobre', 'Calambur Editorial', 'Ediciones Carena']","Avila, Spain; Malabo, Equatorial Guinea; Barcelona, Spain","Spanish, Annobonese","","","Juan Tomás Ávila Laurel was born November 6th, 1966 in Equatorial Guinea. He has written several books of poetry, novels and short story collections in Spanish. He is most known for his novel By Night Mountains Burn, the second ever Equitoguniean book to be translated into English. His books of poetry include Historia Intima De La Humanidad (Intimate History of Humanity) among others. In 2011, he went on a much publicized hunger strike to protest the political dictatorship of Teodoro Obiang’s. Subsequently, he fled to Spain to escape persecution, where he continues to live, write and teach.","Zainab Omaki","","Elisa Rizo, et al. “A Conversation with: Juan Tomás Ávila Laurel.” World Literature Today, vol. 86, no. 5, 2012, pp. 41–44, https://doi.org/10.7588/worllitetoda.86.5.0041. Accessed 10 May 2022. Bachani, Vishnu. ""The Exiled Writer From Equatorial Guinea."" Africa Is Not A Country. August, 2009. https://africasacountry.com/2020/09/the-exiled-writer-from-equatorial-guinea Nair, Parvati. ""In Equitorial Guinea, What Would it Take For People Power to Triumph."" The Guardian. February, 2011. https://www.theguardian.com/commentisfree/2011/feb/20/equatorial-guinea-hunger-strike","","",""
"rec0SlSlo20UImZ8J","apdp.cap.000024","Awah","Bahia Mahmud","","[Awah, Bahia Mahmud](apdp.cap.000024)","","","","Western Sahara","Northern Africa","M","","","","","","","","","","","","","","","","","","https://viaf.org/viaf/121075098/","","","","","","",""
