Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
I remember it well (1971-06-27),apdp.cite.000018,I remember it well,Book Review,Newspaper,1971-06-27,The Sunday Times,p. 29 ,http://link.galegroup.com/apps/doc/FP1800573735/GDCS?u=linc74325&sid=GDCS&xid=c9f1af23,GALE|FP1800573735,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Connolly's review of Lisbon by David Wright (poet) and Patrick Swift (painter/illustrator) suggests that the two ""collaborate well; Swift provides the expert knowledge and the pleasant drawings, Wright the tourist approach and general picture."" Lisbon is a guide-book on Portugal. ",© Times Newspapers Limited.
Different aesthetics (1990-05-18),apdp.cite.000019,Different aesthetics,Book Review,Newspaper,1990-05-18,The Times Literary Supplement,p. 533,"http://link.galegroup.com/apps/doc/EX1200460361/GDCS?u=
linc74325&sid=GDCS&xid=51c0a06a",GALE|EX1200460361,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Giles Foden presents a review on two Heinemann publications, both featuring African poetry. Of the first, Godhorse, the first poetry collection by Kojo Laing, he writes ""The wit is characteristic, but every poem is different, perhaps the only common thread being the championing of sensory experience, especially in connection with religion. Laing handles surrealism well, and is capable of excellent passages."" Of The Fate of Vultures, Foden suggests that the anthology reflects the great depth of talent and vigour in modern African poetry. Foden quotes Seamus Heaney when he suggests that the poems in the collection 'have the potency of human testimony' and so are difficult to criticize. ",
Haitian High Drama (1964-07-16),apdp.cite.000020,Haitian High Drama,Book Review,Newspaper,1964-07-16,The Times Literary Supplement,p. 633,http://link.galegroup.com/apps/doc/EX1200333739/GDCS?u=linc74325&sid=GDCS&xid=beb6f496,GALE|EX1200333739,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Moore writes, ""Lamine Diakhate's poetry glows with good will and the right political sentiments; it is also something of a technical tour-de-force, for the writer has isolated the tendency of the language towards sonorous emptiness and caried it to the extremes... All the familiar properties of the negritude a la Senegal are here; the nostalgia of the exile, the Ancients with their gnomic wisdom, the long horizons, the rejection of life and the here-and-now in favour of the dim and distant. But the poet fails to handle them with the distinction or originality which alone could make the rehash excusable. A new vocabulary is in desperate need of the younger African poets now writing in French.""",
A garbled message (1990-05-18),apdp.cite.000021,A garbled message,Book Review,Newspaper,1990-05-18,The Times Literary Supplement,p. 533,"http://link.galegroup.com/apps/doc/EX1200460359/GDCS?u=
linc74325&sid=GDCS&xid=7bea388b",GALE|EX1200460359,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Watson compares the two anthologies of African poetry, one compiled by Stephen Gray and the other Jane Watts. Of Penguin's anthology, he writes, ""No work to date so completely misrepresents the full spectrum of poetry from this part of the world, and seems so perversely designed to mislead readers who do not already have extensive independent knowledge of local political and cultural history... Gray claims that all nations of southern African belong to a single 'literary system' whose importance overrides any division of the area into separate nation-states."" Of Watts, Watson has a more positive opinion, in that Watts instead makes the ""essential point"" that the work of black writers in South Africa is ""very different from that of African writers elsewhere."" He then writes that, ""having presented these differences, [Jane Watts] is able to explain with admirable lucidity why black writing in this country has progressively assumed an identity all its own, and most particularly why it no longer conforms to Western aesthetic standards.""",
Effects of exile (1982-05-14),apdp.cite.000022,Effects of exile,Book Review,Newspaper,1982-05-14,The Times Literary Supplement,p. 541,"http://link.galegroup.com/apps/doc/EX1200161850/GDCS?u=
linc74325&sid=GDCS&xid=3e477aa0",GALE|EX1200161850,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Anthony Delius reviews two collections of poetry that both are from poets who have been or are in ""exile."" He suggests that in response to exile, one can become ""critical of the culture left behind"" or ""promote it in the face of the omnipresent pressure of the culture of the place or places of refuge."" Delius suggests that Lenrie Peters' work is more of the first, while Mazisi Kunene's is the second. Delius quotes, ""An African critic has written that 'of all African poets of the English expression, he is the least concerned about his country and most concerned about the fate of the continent as a whole!'"" Meanwhile, ""Mazisi Kunene's 300-page dithyramb is dedicated to all the women of Africa, especially the renowned Zulu women, as well as to a couple of goddesses in the African pantheon... [Kunene] grew up listening to the insolent upholders of 'White Christian Civilization' who claimed that black people were unable to produce a civilization like their own or of any kind. Possibly after nearly thirty years of forced exile, Kunene still feels the need to explode that racist absurdity, as well as express his proper pride in the cultural and religious concepts of the Zulus.""",
Agisymbolic (1966-09-08),apdp.cite.000023,Agisymbolic,Book Review,Newspaper,1966-09-08,The Times Literary Supplement,p. 816, http://link.galegroup.com/apps/doc/EX1200342910/GDCS?u=linc74325&sid=GDCS&xid=f3ec4684,GALE|EX1200342910,2019-07-01,"""The Times Literary Supplement Historical Archive,""","The review entitled Agisymbolic is critical of Janheinz Jahn collection of works; the ""heterogenous material"" included in his book varies from ""Juan Latino, who wrote bad poems in Latin in praise of Spanish noblemen; Langston Hughes pleading for sympathy; Somali poets imitating Arabic ideas of chivalry,"" and so on. The critic is skeptical of Jahn's suggestion that all of ""the black African cultures south of the Sahara form a cultural unit"" and that they can be collectively called Agisymbia. Jahn defines neo-African literature all writing that contains Agisymbian-style elements, but never truly explains what an ""Agisymbian"" element includes. ",
Cruising through hell (1974-10-06),apdp.cite.000024,Cruising through hell,Book Review,Newspaper,1974-10-06,The Sunday Times,p. 35,http://link.galegroup.com/apps/doc/FP1800821524/GDCS?u=linc74325&sid=GDCS&xid=34344baa,GALE|FP1800821524,2019-07-01,"""The Sunday Times Historical Archive,""","Smith writes a review of multiple books, but of C. J. Driver's, he writes: ""The first is by a gifted young South African poet, C. J. Driver. A Messiah of the Last Days is about the involvement between Tom Grace, a successful London barrister, and John Buckleson, an idealistic demagogue who leads a sect called the Free People, dedicated in our old country grown weary of the gruesome political cliches, to the building of a new Jerusalem. It's full of interest, but a touch melodramatic in its denoument.""",© Times Newspapers Limited.
A Poet of South Africa (1947-05-31),apdp.cite.000025,A Poet of South Africa,Book Review,Newspaper,1947-05-31,The Times Literary Supplement,p. 296,http://link.galegroup.com/apps/doc/EX1200281100/GDCS?u=linc74325&sid=GDCS&xid=ad7928cb,GALE|EX1200281100,2019-07-01,"""The Times Literary Supplement Historical Archive,""","The critic writes, of F. C. Slater's poetry collection, ""The selection contains only a few pieces on topics of an abstract kind, aesthetic or philosophical; one of hte few is a generous and curious fancy concerning all the activities and the mutations of the poetic spirit. But the scarcity of such detached reflections is not to be misunderstood; for the whole book is founded in reflective habit and maturity through which the national theme so prominent in it is measured and given its setting in the landscape of all human affairs. The secret of his whole structure is his comprehension of life, thought and art beyond geographical boundaries."" ",
African Poems of Thomas Pringle (1991-02-22),apdp.cite.000026,African Poems of Thomas Pringle,Book Review,Newspaper,1991-02-22,The Times Literary Supplement,p. 8 ,"http://link.galegroup.com/apps/doc/EX1200461917/GDCS?u=
linc74325&sid=GDCS&xid=4c9d3c06",GALE|EX1200461917,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Stephen Watson reviews the poetry collection of Thomas Pringle, who is a Scottish poet considered to be the ""father of South African poetry"": ""On the face of it, the title might seem well-deserved. He was undoubtedly the first of the nineteenth-century colonial poets to take on the general conditions of life in the Colony as his subject matter. Moreover, his poetry's early, often outraged protests against white tyranny, as well as its championing of the dispossessed and maligned black peoples, have made him the obvious founding father of that tradition of protest poetry which has been more or less dominant in South Africa in the past few decades."" Watson writes of Roy Campbell that Pringle fathered few successors of his kind of poetry, and the only ""significant child"" was Campbell, who appears a century later.",
A world reclaimed (2020-11-25),apdp.cite.000027,A world reclaimed,Book Review,Newspaper,2020-11-25,The Times Literary Supplement,p. 1307,"http://link.galegroup.com/apps/doc/EX1200456534/GDCS?u=
linc74325&sid=GDCS&xid=a4b25d13",GALE|EX1200456534,2019-07-01,"""The Times Literary Supplement Historical Archive,""","Karin Barber writes that Chinweizu's anthology, Voices from Twentieth-Century Africa, ""aims to map out by example the true dimensions of the field of African literature."" Barber appreciates Chinweizu's inclusion of traditional orature among literature, but criticizes his ""bypassing the things that a lot of ordinary African people actually read, watch, and listen to.""",
Sunday 6 January: Radio 3 (1995-12-31),apdp.cite.000028,Sunday 6 January: Radio 3,Radio Schedule,Newspaper,1995-12-31,The Sunday Times,p. 51 [S6],"http://link.
galegroup.com/apps/doc/FP1801763386/GDCS?u=linc74325&sid=GDCS&xid=c3d92d3b",GALE|FP1801763386,2019-07-01,"""The Sunday Times Historical Archive,""",9.25 Best Words. A reassessment of South African poet Roy Campbell.,© Times Newspapers Limited.
Radio: Radio 3  (1999-01-24),apdp.cite.000029,Radio: Radio 3 ,Radio Schedule,Newspaper,1999-01-24,The Sunday Times,p. 44 [S10],http://link.galegroup.com/apps/doc/FP1802605661/GDCS?u=linc74325&sid=GDCS&xid=ceeae2c3,GALE|FP1802605661,2019-07-01,"""The Sunday Times Historical Archive,""",10.45 Night Waves. Richard Coles talks to leading South African poet and journalist Antjie Krog; plus the announcement of the Whitbread Book Awards.,© Times Newspapers Limited.
The Bishop's move (1997-06-27),apdp.cite.000030,The Bishop's move,Book Review,Newspaper,1997-06-27,The Times Literary Supplement,p. 24,"http://link.galegroup.com/apps/doc/EX1200487325/GDCS?u=linc74325&sid=
GDCS&xid=608eb866",GALE|EX1200487325,2019-07-01,"""The Times Literary Supplement Historical Archive,""","No particular African poet is mentioned, but, when speaking of literary history, critic Landeg White writes: ""There are moments in literary history (arguably in eleventh-century Andalusia, giving rise to troubadour poetry, demonstrably in modern Africa and Caribbean poetry in English) when popular culture challenges literacy and raises the most basic questions about peotry's subject-matter, forms, language, and means of dissemination; in short, about who poetry belongs to.""",
The Climate of Taste (1953-10-02),apdp.cite.000031,The Climate of Taste,Book Review,Newspaper,1953-10-02,The Times Literary Supplement,p. 628,http://link.galegroup.com/apps/doc/EX1200299442/GDCS?u=linc74325&sid=GDCS&xid=472db479,GALE|EX1200299442,2019-07-06,"""The Times Literary Supplement Historical Archive,""","G. S. Fraser reviews the new anthology, The Faber Book of Modern Verse, which is intended to complement the previous version, the Faber Book of Modern Verse, collected by Michael Roberts. This new anthology was edited by two poets, John Heath-Stubbs and David Wright. Of David Wright, Fraser says: ""...readers of anthologies, however, will have enjoyed both his poems on classical themes and his comic and satirical pieces, which have something of the robustness of similar work by his fellow-countryman, Mr. Roy Campbell.""",
Quiet and disquiet (1985-05-10),apdp.cite.000032,Quiet and disquiet,Book Review,Newspaper,1985-05-10,The Times Literary Supplement,p. 527,"http://link.galegroup.com/apps/doc/EX1200447360/GDCS?u=
linc74325&sid=GDCS&xid=34e39750",GALE|EX1200447360,2019-07-06,"""The Times Literary Supplement Historical Archive,""","Dennis Walder discusses three African poets in his review ""Quiet and disquiet."" He compares and contrasts the work of Patrick Cullinan, Douglas Livingstone, and Oswald Mtshali. Walder suggests that Cullinan ""sidesteps the factional rhetoric of his native land, preferring subtelty, irony, and indirection,"" while Livingstone is a ""confident meditation on the vicissitudes of desire,"" though it is detached and lacking ""point."" Walder points to Oswald Mtsali's collection Sounds of a Cowhide Drum (1971) for ""urgent voices"" on the urban black experience, though he is critical of Mtshali's latest work, Fireflames, which he sees as ""abandon[ing] the quieter, ironic mode of his earlier work for rhetorical expostulation"" that ""lie inert on the page.""",
New Books and Reprints: Poetry (1917-12-27),apdp.cite.000033,New Books and Reprints: Poetry,Book Review,Newspaper,1917-12-27,The Times Literary Supplement,p. 650+,"http://link.galegroup.com/apps/doc/EX1200022163/
GDCS?u=linc74325&sid=GDCS&xid=c9e20bd9",GALE|EX1200022163,2019-07-06,"""The Times Literary Supplement Historical Archive,""","""Poems of fine spirit and texture, carried through with the lilt of ballad metre, describing the fight with the submarine, the sensations of flight, and the adventures and heroism of airmen. Mr Vine Hall is a South African poet and some portions of these poems have appeared in South African periodicals.""",
From Slad to Spain and back (1999-11-26),apdp.cite.000034,From Slad to Spain and back,Book Review,Newspaper,1999-11-26,The Times Literary Supplement,p. 10+,"http://link.galegroup.com/apps/doc/EX1200497937/GDCS?u=linc74325&sid=
GDCS&xid=8106b835",GALE|EX1200497937,2019-07-06,"""The Times Literary Supplement Historical Archive,""","""It is, after all, an extraordinary story. Everyone knows how the boy from Slad, Gloucestershire, not yet twenty, walked out one mid-summer morning armed with nothing much but a fiddle, a tent and his downy good looks... Playing his fiddle in the main square of Toledo, he attracted the attention of Roy Campbell, the South African poet, who invited him to stay. Campbell was married to Mary, one of the fabled German sisters, bohemian upper-class beauties, and Laurie was photographed with her five-year-old niece Kathy (daugther of another German sister) on his knee. A decade and a half later, Kathy married him, and with their daughter Jesse, loked after him for the rest of his life."" ",
A Plea for Afrikaans (1936-11-21),apdp.cite.000035,A Plea for Afrikaans,Book Review,Newspaper,1936-11-21,The Times Literary Supplement,p. 956,"http://link.galegroup.
com/apps/doc/EX1200255237/GDCS?u=linc74325&sid=GDCS&xid=fc9bc408",GALE|EX1200255237,2019-07-06,"""The Times Literary Supplement Historical Archive,""","T. J. Harhoff's book recounts the origins and development of the Afrikaans language in South Africa. Of African poetry, critic du Plessis writes, ""Afrikaans has still a long way to go before it realizes all the hopes of its ardent supporters: but it has some poets and one or two prose-writers whose measure would not be diminished by European standards. The language is bold, simple, humorous, vital and vigorous, and is sufficiently flexible for any venturesome and inventive writer who wishes to express many shades of thought."" du Plessis then quotes from Harhoff's book, in which Harhoff discusses Roy Campbell.",
Ironies of exile: Post-colonial homelessness and the anticlimax of return (1994-04-01),apdp.cite.000036,Ironies of exile: Post-colonial homelessness and the anticlimax of return,Book Review,Newspaper,1994-04-01,The Times Literary Supplement,p. 5 ,"http://link.galegroup.com/apps/doc/EX1200473446/GDCS?u=linc74325&sid=GDCS&xid=
c80f5879",GALE|EX1200473446,2019-07-06,"""The Times Literary Supplement Historical Archive,""","Lewis Nkosi reviews the book The Rift by Hilda Bernstein and comments with his own personal experience on exile in South Africa. Nkosi suggests that ""In Africa, too, the moment of modernism is invariably associated with displacement, imprisonment, and exile""; he suggests that leading African writers have been imprisoned and banished in their countries, such as Wole Soyinka, Kofi Awoonor, Ngugi wa Thiong'o, Nurrudin Farah, and Dambudzo Marechera. Nkosi himself was exiled from South Africa; he writes that ""for many South Africans [exile was] the very condition of their existence."" ",
Nigerian traditions (1972-01-07),apdp.cite.000037,Nigerian traditions,Book Review,Newspaper,1972-01-07,The Times Literary Supplement,p. 16,http://link.galegroup.com/apps/doc/EX1200378069/GDCS?u=linc74325&sid=GDCS&xid=29c2e039,GALE|EX1200378069,2019-07-06,"""The Times Literary Supplement Historical Archive,""","This review of John Pepper Clark's collection of critical essays suggests that Clark's ""critical writing is free from academic jargon or heaviness, but does sometimes lack clarity,"" and that his essay ""Themes of African Poetry of English Expression"" in particular should ""overall...be welcomed as a contribution to the slender body of African literary criticism, and as bringing some illumination to the practice of one of its most talented poets."" ",
Mr. Fifield's New List (1917-07-26),apdp.cite.000038,Mr. Fifield's New List,Advertisement,Newspaper,1917-07-26,The Times Literary Supplement,p. 352,https://link-gale-com.libproxy.unl.edu/apps/doc/EX1200186400/GDCS?u=linc74325&sid=GDCS&xid=3c451346,GALE|EX1200186400,2019-07-01,"""The Times Literary Supplement Historical Archive,""","""Siftings from South African poems which most closely reflect the life, scenery, fauna, and flora of South Africa.""",
"Europe Looks Outwards--II: Keeping it Dark: ""Negritude"" in a Changing World (1962-09-21)",apdp.cite.000039,"Europe Looks Outwards--II: Keeping it Dark: ""Negritude"" in a Changing World",Critical Article,Newspaper,1962-09-21,The Times Literary Supplement,p. 702+,http://link.galegroup.com/apps/doc/EX1200129437/GDCS?u=linc74325&sid=GDCS&xid=72034a1e,GALE|EX1200129437,2019-07-01,"""The Times Literary Supplement Historical Archive,""","In this article, Gerald Moore considers the history and creation of the negritude movement of black, French-speaking writers. He cites several African poets as instrumental to the development of the movement.",
Dominion Poets (1949-04-30),apdp.cite.000040,Dominion Poets,Editorial Letter,Newspaper,1949-04-30,The Times Literary Supplement,p. 281,"http://link.galegroup.com/apps/doc/EX1200285989/GDCS?u=
linc74325&sid=GDCS&xid=144923ac",GALE|EX1200285989,2019-07-01,"""The Times Literary Supplement Historical Archive,""","E. Wilmot criticizes the reviewer of ""Dominion Poets"" featured on February 26th; Wilmot suggests that the reviewer is ""ignorant"" of South African poetry due to his Englishness. Wilmot writes: ""I confess myself disheartened by the argument that so long as I remain a South African - a ""colonial,"" as my sophisticated uncles and aunts were in the habit of saying - I cannot become a poet; and that when I achieve poethood, I shall no longer be a South African.""",
